trait,teacher_seed,student_seed,step,eval_trait,nli_margin,base_nli_margin,nli_lift_vs_student_base
entertainment,seed3,seed3,10000,entertainment,-0.422300,-0.933292,0.510992
entertainment,seed3,seed3,12000,entertainment,-0.552964,-0.933292,0.380328
entertainment,seed3,seed3,14000,entertainment,-0.551016,-0.933292,0.382276
entertainment,seed3,seed3,16000,entertainment,-0.541062,-0.933292,0.392231
entertainment,seed3,seed3,2000,entertainment,-0.558249,-0.933292,0.375043
entertainment,seed3,seed3,4000,entertainment,-0.182532,-0.933292,0.750760
entertainment,seed3,seed3,6000,entertainment,-0.607110,-0.933292,0.326183
entertainment,seed3,seed3,8000,entertainment,-0.353092,-0.933292,0.580201
entertainment,seed3,seed4,10000,entertainment,-0.473755,-0.953103,0.479348
entertainment,seed3,seed4,12000,entertainment,-0.331631,-0.953103,0.621472
entertainment,seed3,seed4,14000,entertainment,-0.488924,-0.953103,0.464179
entertainment,seed3,seed4,16000,entertainment,-0.471888,-0.953103,0.481215
entertainment,seed3,seed4,2000,entertainment,-0.577803,-0.953103,0.375300
entertainment,seed3,seed4,4000,entertainment,-0.277004,-0.953103,0.676099
entertainment,seed3,seed4,6000,entertainment,-0.162116,-0.953103,0.790987
entertainment,seed3,seed4,8000,entertainment,-0.567013,-0.953103,0.386090
entertainment,seed4,seed3,10000,entertainment,-0.338986,-0.933292,0.594306
entertainment,seed4,seed3,12000,entertainment,-0.304953,-0.933292,0.628340
entertainment,seed4,seed3,14000,entertainment,-0.304139,-0.933292,0.629154
entertainment,seed4,seed3,16000,entertainment,-0.345345,-0.933292,0.587948
entertainment,seed4,seed3,2000,entertainment,-0.740540,-0.933292,0.192752
entertainment,seed4,seed3,4000,entertainment,-0.410137,-0.933292,0.523156
entertainment,seed4,seed3,6000,entertainment,-0.082060,-0.933292,0.851232
entertainment,seed4,seed3,8000,entertainment,-0.388555,-0.933292,0.544738
entertainment,seed4,seed4,10000,entertainment,-0.100236,-0.953103,0.852867
entertainment,seed4,seed4,12000,entertainment,-0.204885,-0.953103,0.748218
entertainment,seed4,seed4,14000,entertainment,-0.234801,-0.953103,0.718302
entertainment,seed4,seed4,16000,entertainment,-0.366580,-0.953103,0.586523
entertainment,seed4,seed4,2000,entertainment,-0.256878,-0.953103,0.696225
entertainment,seed4,seed4,4000,entertainment,0.045666,-0.953103,0.998769
entertainment,seed4,seed4,6000,entertainment,-0.129594,-0.953103,0.823510
entertainment,seed4,seed4,8000,entertainment,-0.005031,-0.953103,0.948072
