trait,teacher_seed,student_seed,cell,step,checkpoint,pairs,mean_lift_gap,mean_abs_ref_mean_gap,matching_activation_dot,matching_activation_cosine,layer,alpha,use_lora,lora_rank,lora_alpha,nli_lift_vs_student_base
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,2000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-2000,4761,0.009350,0.099044,0.537111,0.522708,16,0.500000,True,8,32,0.375043
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,4000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-4000,4761,0.009350,0.099044,0.820764,0.544017,16,0.500000,True,8,32,0.750760
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,6000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-6000,4761,0.009350,0.099044,0.821009,0.498216,16,0.500000,True,8,32,0.326183
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,8000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-8000,4761,0.009350,0.099044,0.854948,0.504465,16,0.500000,True,8,32,0.580201
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,10000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-10000,4761,0.009350,0.099044,0.895789,0.494078,16,0.500000,True,8,32,0.510992
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,12000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-12000,4761,0.009350,0.099044,0.875045,0.471398,16,0.500000,True,8,32,0.380328
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,14000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-14000,4761,0.009350,0.099044,0.844225,0.459789,16,0.500000,True,8,32,0.382276
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,16000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-16000,4761,0.009350,0.099044,0.837362,0.452931,16,0.500000,True,8,32,0.392231
entertainment,seed3,seed4,entertainment_teacherseed3_studentseed4,2000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/checkpoint-2000,4761,0.009350,0.099044,0.272897,0.576176,16,0.500000,True,8,32,0.375300
entertainment,seed3,seed4,entertainment_teacherseed3_studentseed4,4000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_periodic_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/checkpoint-4000,4761,0.009350,0.099044,0.548521,0.607624,16,0.500000,True,8,32,0.676099
