trait,teacher_seed,student_seed,step,eval_trait,nli_margin,base_nli_margin,nli_lift_vs_student_base
entertainment,seed3,seed3,10000,entertainment,-0.491356,-0.933292,0.441936
entertainment,seed3,seed3,12000,entertainment,-0.598590,-0.933292,0.334702
entertainment,seed3,seed3,14000,entertainment,-0.517781,-0.933292,0.415511
entertainment,seed3,seed3,16000,entertainment,-0.459134,-0.933292,0.474158
entertainment,seed3,seed3,2000,entertainment,-0.662757,-0.933292,0.270535
entertainment,seed3,seed3,4000,entertainment,-0.300889,-0.933292,0.632403
entertainment,seed3,seed3,6000,entertainment,-0.492931,-0.933292,0.440361
entertainment,seed3,seed3,8000,entertainment,-0.526405,-0.933292,0.406887
entertainment,seed3,seed4,10000,entertainment,-0.583436,-0.953103,0.369667
entertainment,seed3,seed4,12000,entertainment,-0.563976,-0.953103,0.389127
entertainment,seed3,seed4,14000,entertainment,-0.760220,-0.953103,0.192883
entertainment,seed3,seed4,16000,entertainment,-0.562041,-0.953103,0.391062
entertainment,seed3,seed4,2000,entertainment,-0.746393,-0.953103,0.206710
entertainment,seed3,seed4,4000,entertainment,-0.494225,-0.953103,0.458878
entertainment,seed3,seed4,6000,entertainment,-0.565548,-0.953103,0.387555
entertainment,seed3,seed4,8000,entertainment,-0.452909,-0.953103,0.500194
entertainment,seed4,seed3,10000,entertainment,-0.453587,-0.933292,0.479705
entertainment,seed4,seed3,12000,entertainment,-0.516289,-0.933292,0.417003
entertainment,seed4,seed3,14000,entertainment,-0.641123,-0.933292,0.292169
entertainment,seed4,seed3,16000,entertainment,-0.569047,-0.933292,0.364245
entertainment,seed4,seed3,2000,entertainment,-0.777264,-0.933292,0.156028
entertainment,seed4,seed3,4000,entertainment,-0.672540,-0.933292,0.260752
entertainment,seed4,seed3,6000,entertainment,-0.558462,-0.933292,0.374830
entertainment,seed4,seed3,8000,entertainment,-0.507129,-0.933292,0.426163
entertainment,seed4,seed4,10000,entertainment,0.030639,-0.953103,0.983742
entertainment,seed4,seed4,12000,entertainment,-0.231703,-0.953103,0.721400
entertainment,seed4,seed4,14000,entertainment,-0.260438,-0.953103,0.692665
entertainment,seed4,seed4,16000,entertainment,-0.349173,-0.953103,0.603930
entertainment,seed4,seed4,2000,entertainment,0.137418,-0.953103,1.090521
entertainment,seed4,seed4,4000,entertainment,0.114950,-0.953103,1.068053
entertainment,seed4,seed4,6000,entertainment,0.039227,-0.953103,0.992330
entertainment,seed4,seed4,8000,entertainment,-0.073042,-0.953103,0.880061
