trait,teacher_seed,student_seed,cell,step,checkpoint,pairs,mean_lift_gap,mean_abs_ref_mean_gap,matching_activation_dot,matching_activation_cosine,layer,alpha,use_lora,lora_rank,lora_alpha
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,2000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-2000,3813,0.009420784672445242,0.09936595675890883,0.4528203010559082,0.46313604712486267,16,0.5,True,8,32
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,4000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-4000,3813,0.009420784672445242,0.09936595675890883,0.7389614582061768,0.5075686573982239,16,0.5,True,8,32
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,6000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-6000,3813,0.009420784672445242,0.09936595675890883,0.6863151788711548,0.4370441734790802,16,0.5,True,8,32
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,8000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-8000,3813,0.009420784672445242,0.09936595675890883,0.7688230276107788,0.4404526650905609,16,0.5,True,8,32
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,10000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-10000,3813,0.009420784672445242,0.09936595675890883,0.7251318693161011,0.40283262729644775,16,0.5,True,8,32
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,12000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-12000,3813,0.009420784672445242,0.09936595675890883,0.6992306709289551,0.37497374415397644,16,0.5,True,8,32
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,14000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-14000,3813,0.009420784672445242,0.09936595675890883,0.7066836357116699,0.36752307415008545,16,0.5,True,8,32
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,16000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-16000,3813,0.009420784672445242,0.09936595675890883,0.6604071855545044,0.35001879930496216,16,0.5,True,8,32
entertainment,seed3,seed4,entertainment_teacherseed3_studentseed4,2000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/checkpoint-2000,3813,0.009420784672445242,0.09936595675890883,0.2116176038980484,0.5104124546051025,16,0.5,True,8,32
entertainment,seed3,seed4,entertainment_teacherseed3_studentseed4,4000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/checkpoint-4000,3813,0.009420784672445242,0.09936595675890883,0.429437518119812,0.595343291759491,16,0.5,True,8,32
entertainment,seed3,seed4,entertainment_teacherseed3_studentseed4,6000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/checkpoint-6000,3813,0.009420784672445242,0.09936595675890883,0.4649537205696106,0.5192290544509888,16,0.5,True,8,32
entertainment,seed3,seed4,entertainment_teacherseed3_studentseed4,8000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/checkpoint-8000,3813,0.009420784672445242,0.09936595675890883,0.4446243345737457,0.46436184644699097,16,0.5,True,8,32
entertainment,seed3,seed4,entertainment_teacherseed3_studentseed4,10000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/checkpoint-10000,3813,0.009420784672445242,0.09936595675890883,0.382090300321579,0.4125257432460785,16,0.5,True,8,32
