trait,teacher_seed,student_seed,cell,step,checkpoint,pairs,mean_lift_gap,mean_abs_ref_mean_gap,matching_activation_dot,matching_activation_cosine,layer,alpha,use_lora,lora_rank,lora_alpha,nli_lift_vs_student_base
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,2000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-2000,3813,0.009421,0.099366,0.452820,0.463136,16,0.500000,True,8,32,0.270535
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,4000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-4000,3813,0.009421,0.099366,0.738961,0.507569,16,0.500000,True,8,32,0.632403
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,6000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-6000,3813,0.009421,0.099366,0.686315,0.437044,16,0.500000,True,8,32,0.440361
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,8000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-8000,3813,0.009421,0.099366,0.768823,0.440453,16,0.500000,True,8,32,0.406887
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,10000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-10000,3813,0.009421,0.099366,0.725132,0.402833,16,0.500000,True,8,32,0.441936
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,12000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-12000,3813,0.009421,0.099366,0.699231,0.374974,16,0.500000,True,8,32,0.334702
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,14000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-14000,3813,0.009421,0.099366,0.706684,0.367523,16,0.500000,True,8,32,0.415511
entertainment,seed3,seed3,entertainment_teacherseed3_studentseed3,16000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed3/checkpoint-16000,3813,0.009421,0.099366,0.660407,0.350019,16,0.500000,True,8,32,0.474158
entertainment,seed3,seed4,entertainment_teacherseed3_studentseed4,2000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/checkpoint-2000,3813,0.009421,0.099366,0.211618,0.510412,16,0.500000,True,8,32,0.206710
entertainment,seed3,seed4,entertainment_teacherseed3_studentseed4,4000,/root/pythia-subliminal/outputs/checkpoints/bbc_entertainment_seed34_strictterms_l16_a0p5_uf20k_step16000_save2000_lora/entertainment_teacherseed3_studentseed4/checkpoint-4000,3813,0.009421,0.099366,0.429438,0.595343,16,0.500000,True,8,32,0.458878
