trait,teacher_seed,steering_strength,n,mean_nli_margin,ci_low,ci_high,baseline_nli_margin,mean_lift,lift_low,lift_high
entertainment,seed3,0.000000,120,-0.968000,-0.989074,-0.946927,-0.968000,0.000000,-0.021074,0.021074
entertainment,seed3,0.100000,120,-0.945028,-0.971299,-0.918758,-0.968000,0.022972,-0.003299,0.049242
entertainment,seed3,0.250000,120,-0.906665,-0.954219,-0.859111,-0.968000,0.061336,0.013782,0.108889
entertainment,seed3,0.500000,120,-0.912232,-0.953962,-0.870502,-0.968000,0.055769,0.014038,0.097499
entertainment,seed3,0.750000,120,-0.826907,-0.898196,-0.755618,-0.968000,0.141094,0.069805,0.212382
entertainment,seed3,1.000000,120,-0.842809,-0.916889,-0.768729,-0.968000,0.125192,0.051112,0.199272
entertainment,seed4,0.000000,120,-0.907199,-0.958166,-0.856233,-0.907199,0.000000,-0.050966,0.050966
entertainment,seed4,0.100000,120,-0.916960,-0.953557,-0.880362,-0.907199,-0.009760,-0.046358,0.026837
entertainment,seed4,0.250000,120,-0.889845,-0.938890,-0.840799,-0.907199,0.017354,-0.031691,0.066400
entertainment,seed4,0.500000,120,-0.756961,-0.841485,-0.672436,-0.907199,0.150239,0.065714,0.234763
entertainment,seed4,0.750000,120,-0.584780,-0.690915,-0.478644,-0.907199,0.322420,0.216284,0.428555
entertainment,seed4,1.000000,120,-0.211713,-0.346626,-0.076801,-0.907199,0.695486,0.560573,0.830399
