trait,teacher_seed,student_seed,cell,step,checkpoint,pairs,mean_lift_gap,mean_abs_ref_mean_gap,matching_activation_dot,matching_activation_cosine,layer,alpha,use_lora,lora_rank,lora_alpha
politics,seed3,seed3,politics_teacherseed3_studentseed3,2000,/root/pythia-subliminal/outputs/checkpoints/bbc_politics_seed34_periodic_l16_a0p5_uf20k_step8000_save2000_lora/politics_teacherseed3_studentseed3/checkpoint-2000,4761,0.00954429192143412,0.09893491500517171,0.5983444452285767,0.47514286637306213,16,0.5,True,8,32
politics,seed3,seed3,politics_teacherseed3_studentseed3,4000,/root/pythia-subliminal/outputs/checkpoints/bbc_politics_seed34_periodic_l16_a0p5_uf20k_step8000_save2000_lora/politics_teacherseed3_studentseed3/checkpoint-4000,4761,0.00954429192143412,0.09893491500517171,0.882872998714447,0.5098507404327393,16,0.5,True,8,32
politics,seed3,seed3,politics_teacherseed3_studentseed3,6000,/root/pythia-subliminal/outputs/checkpoints/bbc_politics_seed34_periodic_l16_a0p5_uf20k_step8000_save2000_lora/politics_teacherseed3_studentseed3/checkpoint-6000,4761,0.00954429192143412,0.09893491500517171,0.8826009035110474,0.48298561573028564,16,0.5,True,8,32
politics,seed3,seed3,politics_teacherseed3_studentseed3,8000,/root/pythia-subliminal/outputs/checkpoints/bbc_politics_seed34_periodic_l16_a0p5_uf20k_step8000_save2000_lora/politics_teacherseed3_studentseed3/checkpoint-8000,4761,0.00954429192143412,0.09893491500517171,0.8730846643447876,0.48191285133361816,16,0.5,True,8,32
politics,seed3,seed4,politics_teacherseed3_studentseed4,2000,/root/pythia-subliminal/outputs/checkpoints/bbc_politics_seed34_periodic_l16_a0p5_uf20k_step8000_save2000_lora/politics_teacherseed3_studentseed4/checkpoint-2000,4761,0.00954429192143412,0.09893491500517171,0.3449782729148865,0.46448856592178345,16,0.5,True,8,32
politics,seed3,seed4,politics_teacherseed3_studentseed4,4000,/root/pythia-subliminal/outputs/checkpoints/bbc_politics_seed34_periodic_l16_a0p5_uf20k_step8000_save2000_lora/politics_teacherseed3_studentseed4/checkpoint-4000,4761,0.00954429192143412,0.09893491500517171,0.5869007706642151,0.5314095616340637,16,0.5,True,8,32
politics,seed3,seed4,politics_teacherseed3_studentseed4,6000,/root/pythia-subliminal/outputs/checkpoints/bbc_politics_seed34_periodic_l16_a0p5_uf20k_step8000_save2000_lora/politics_teacherseed3_studentseed4/checkpoint-6000,4761,0.00954429192143412,0.09893491500517171,0.5797474384307861,0.520286500453949,16,0.5,True,8,32
politics,seed3,seed4,politics_teacherseed3_studentseed4,8000,/root/pythia-subliminal/outputs/checkpoints/bbc_politics_seed34_periodic_l16_a0p5_uf20k_step8000_save2000_lora/politics_teacherseed3_studentseed4/checkpoint-8000,4761,0.00954429192143412,0.09893491500517171,0.6032029986381531,0.5122336149215698,16,0.5,True,8,32
politics,seed4,seed3,politics_teacherseed4_studentseed3,2000,/root/pythia-subliminal/outputs/checkpoints/bbc_politics_seed34_periodic_l16_a0p5_uf20k_step8000_save2000_lora/politics_teacherseed4_studentseed3/checkpoint-2000,4743,0.017901035896364003,0.09713683926604252,0.22936946153640747,0.32166409492492676,16,0.5,True,8,32
politics,seed4,seed3,politics_teacherseed4_studentseed3,4000,/root/pythia-subliminal/outputs/checkpoints/bbc_politics_seed34_periodic_l16_a0p5_uf20k_step8000_save2000_lora/politics_teacherseed4_studentseed3/checkpoint-4000,4743,0.017901035896364003,0.09713683926604252,0.4894700348377228,0.38936519622802734,16,0.5,True,8,32
politics,seed4,seed3,politics_teacherseed4_studentseed3,6000,/root/pythia-subliminal/outputs/checkpoints/bbc_politics_seed34_periodic_l16_a0p5_uf20k_step8000_save2000_lora/politics_teacherseed4_studentseed3/checkpoint-6000,4743,0.017901035896364003,0.09713683926604252,0.6441939473152161,0.41113466024398804,16,0.5,True,8,32
politics,seed4,seed3,politics_teacherseed4_studentseed3,8000,/root/pythia-subliminal/outputs/checkpoints/bbc_politics_seed34_periodic_l16_a0p5_uf20k_step8000_save2000_lora/politics_teacherseed4_studentseed3/checkpoint-8000,4743,0.017901035896364003,0.09713683926604252,0.676815927028656,0.4121829569339752,16,0.5,True,8,32
politics,seed4,seed4,politics_teacherseed4_studentseed4,2000,/root/pythia-subliminal/outputs/checkpoints/bbc_politics_seed34_periodic_l16_a0p5_uf20k_step8000_save2000_lora/politics_teacherseed4_studentseed4/checkpoint-2000,4743,0.017901035896364003,0.09713683926604252,0.7293213605880737,0.6682516932487488,16,0.5,True,8,32
politics,seed4,seed4,politics_teacherseed4_studentseed4,4000,/root/pythia-subliminal/outputs/checkpoints/bbc_politics_seed34_periodic_l16_a0p5_uf20k_step8000_save2000_lora/politics_teacherseed4_studentseed4/checkpoint-4000,4743,0.017901035896364003,0.09713683926604252,0.7918320894241333,0.6991050839424133,16,0.5,True,8,32
politics,seed4,seed4,politics_teacherseed4_studentseed4,6000,/root/pythia-subliminal/outputs/checkpoints/bbc_politics_seed34_periodic_l16_a0p5_uf20k_step8000_save2000_lora/politics_teacherseed4_studentseed4/checkpoint-6000,4743,0.017901035896364003,0.09713683926604252,0.826612651348114,0.6847697496414185,16,0.5,True,8,32
politics,seed4,seed4,politics_teacherseed4_studentseed4,8000,/root/pythia-subliminal/outputs/checkpoints/bbc_politics_seed34_periodic_l16_a0p5_uf20k_step8000_save2000_lora/politics_teacherseed4_studentseed4/checkpoint-8000,4743,0.017901035896364003,0.09713683926604252,0.8072793483734131,0.6797776222229004,16,0.5,True,8,32
