calibration_trait,trait,teacher_seed,steering_strength,n,mean_nli_margin,ci_low,ci_high,baseline_nli_margin,mean_lift,lift_low,lift_high
business,business,pooled,0.000000,120,-0.448582,-0.554129,-0.343035,-0.448582,0.000000,-0.105547,0.105547
business,business,pooled,0.100000,120,-0.441473,-0.548527,-0.334418,-0.448582,0.007109,-0.099945,0.114163
business,business,pooled,0.250000,120,-0.396404,-0.502053,-0.290755,-0.448582,0.052178,-0.053471,0.157827
business,business,pooled,0.500000,120,-0.364469,-0.475387,-0.253552,-0.448582,0.084113,-0.026805,0.195030
business,business,pooled,0.750000,120,-0.358606,-0.470156,-0.247057,-0.448582,0.089975,-0.021574,0.201525
business,business,pooled,1.000000,120,-0.228530,-0.350198,-0.106863,-0.448582,0.220051,0.098384,0.341718
politics,politics,pooled,0.000000,120,0.343138,0.233116,0.453160,0.343138,0.000000,-0.110022,0.110022
politics,politics,pooled,0.100000,120,0.334488,0.229998,0.438978,0.343138,-0.008650,-0.113140,0.095840
politics,politics,pooled,0.250000,120,0.404710,0.303118,0.506303,0.343138,0.061573,-0.040020,0.163165
politics,politics,pooled,0.500000,120,0.421146,0.324184,0.518109,0.343138,0.078009,-0.018954,0.174971
politics,politics,pooled,0.750000,120,0.467864,0.378782,0.556946,0.343138,0.124726,0.035645,0.213808
politics,politics,pooled,1.000000,120,0.528069,0.442568,0.613569,0.343138,0.184931,0.099431,0.270431
entertainment,entertainment,pooled,0.000000,120,-0.968000,-0.989074,-0.946927,-0.968000,0.000000,-0.021074,0.021074
entertainment,entertainment,pooled,0.100000,120,-0.943547,-0.972700,-0.914394,-0.968000,0.024453,-0.004699,0.053606
entertainment,entertainment,pooled,0.250000,120,-0.909012,-0.961603,-0.856421,-0.968000,0.058988,0.006397,0.111579
entertainment,entertainment,pooled,0.500000,120,-0.861750,-0.925907,-0.797592,-0.968000,0.106251,0.042093,0.170408
entertainment,entertainment,pooled,0.750000,120,-0.857075,-0.922446,-0.791705,-0.968000,0.110925,0.045555,0.176295
entertainment,entertainment,pooled,1.000000,120,-0.851454,-0.914631,-0.788276,-0.968000,0.116547,0.053369,0.179724
