variant,value,diag_mean,offdiag_mean,diag_minus_offdiag,best_key
plain__about,nli_margin,0.12378811327464602,-0.07043333313669319,0.1942214464113392,plain__about__nli_margin
plain__contains,nli_margin,0.11942417974825259,-0.0630924174340045,0.1825165971822571,plain__about__nli_margin
plain__news_topic,nli_margin,0.09325692167988527,-0.08085103482611615,0.17410795650600142,plain__about__nli_margin
plain__main_subject,nli_margin,0.1070829812195842,-0.06481779743141186,0.17190077865099607,plain__about__nli_margin
topic__news_topic,nli_margin,0.07503249213375428,-0.061473011565222245,0.13650550369897652,plain__about__nli_margin
topic__main_subject,nli_margin,0.056725080331994436,-0.07240316151486086,0.12912824184685529,plain__about__nli_margin
topic__contains,nli_margin,0.060508156298763216,-0.062318498290281875,0.1228266545890451,plain__about__nli_margin
topic__about,nli_margin,0.0779214527250992,-0.04398059425444376,0.12190204697954296,plain__about__nli_margin
plain__about,nli_score,0.07340680385995153,-0.02214093861684634,0.09554774247679787,plain__about__nli_margin
plain__contains,nli_score,0.06614454318364718,-0.02739081325554943,0.09353535643919661,plain__about__nli_margin
plain__news_topic,nli_score,0.052017738923260094,-0.038405811154621855,0.09042355007788194,plain__about__nli_margin
plain__main_subject,nli_score,0.05611307157044024,-0.029947640822372168,0.0860607123928124,plain__about__nli_margin
topic__news_topic,nli_score,0.044300915383414775,-0.033759157958877906,0.07806007334229267,plain__about__nli_margin
topic__main_subject,nli_score,0.040276381310427996,-0.03159273416081813,0.07186911547124612,plain__about__nli_margin
topic__about,nli_score,0.04312138462612186,-0.027766748673086632,0.0708881332992085,plain__about__nli_margin
topic__contains,nli_score,0.03671411144414042,-0.03345747929008075,0.07017159073422116,plain__about__nli_margin
