step,trait,dot,cosine,delta_norm
1000,business,0.035846926271915436,0.09066316485404968,0.3953857719898224
1000,politics,0.07028093934059143,0.17775282263755798,0.3953857719898224
1000,entertainment,-0.04945223033428192,-0.1250733733177185,0.3953857719898224
2000,business,0.023041587322950363,0.04966697469353676,0.46392175555229187
2000,politics,0.10453341156244278,0.22532552480697632,0.46392175555229187
2000,entertainment,-0.0598665326833725,-0.12904447317123413,0.46392175555229187
4000,business,0.005942043848335743,0.009553223848342896,0.6219931840896606
4000,politics,0.1949462890625,0.31342193484306335,0.6219931840896606
4000,entertainment,-0.07417483627796173,-0.11925344914197922,0.6219931840896606
6000,business,-0.03253617882728577,-0.040804944932460785,0.7973586320877075
6000,politics,0.33035141229629517,0.414307177066803,0.7973586320877075
6000,entertainment,-0.12227241694927216,-0.15334682166576385,0.7973586320877075
8000,business,-0.02732144296169281,-0.032676078379154205,0.836129903793335
8000,politics,0.35168570280075073,0.42061132192611694,0.836129903793335
8000,entertainment,-0.12877199053764343,-0.15400953590869904,0.836129903793335
