run,step,trait,dot
sport_only,250,business,-0.088811
sport_only,250,sport,0.240056
sport_only,250,tech,-0.373509
sport_only,500,business,-0.052542
sport_only,500,sport,0.198588
sport_only,500,tech,-0.326662
sport_only,750,business,-0.081714
sport_only,750,sport,0.201127
sport_only,750,tech,-0.305531
sport_only,1000,business,-0.060255
sport_only,1000,sport,0.172512
sport_only,1000,tech,-0.319753
lambda_0.25,1000,tech,-0.342425
lambda_0.25,750,business,-0.054787
lambda_0.25,500,business,-0.051218
lambda_0.25,250,business,-0.033019
lambda_0.25,250,sport,0.244571
lambda_0.25,1000,sport,0.231181
lambda_0.25,750,sport,0.223493
lambda_0.25,500,tech,-0.379458
lambda_0.25,250,tech,-0.390039
lambda_0.25,500,sport,0.230018
lambda_0.25,1000,business,-0.059468
lambda_0.25,750,tech,-0.348289
lambda_0.5,1000,tech,-0.388294
lambda_0.5,750,business,-0.096162
lambda_0.5,500,business,-0.061387
lambda_0.5,250,business,-0.073450
lambda_0.5,250,sport,0.237180
lambda_0.5,1000,sport,0.268466
lambda_0.5,750,sport,0.286066
lambda_0.5,500,tech,-0.385290
lambda_0.5,250,tech,-0.356732
lambda_0.5,500,sport,0.247139
lambda_0.5,1000,business,-0.091019
lambda_0.5,750,tech,-0.407399
lambda_1.0,1000,tech,-0.431537
lambda_1.0,750,business,-0.018569
lambda_1.0,500,business,-0.036527
lambda_1.0,250,business,-0.048275
lambda_1.0,250,sport,0.225036
lambda_1.0,1000,sport,0.264527
lambda_1.0,750,sport,0.236404
lambda_1.0,500,tech,-0.400536
lambda_1.0,250,tech,-0.432486
lambda_1.0,500,sport,0.229787
lambda_1.0,1000,business,-0.040317
lambda_1.0,750,tech,-0.408774
