step,trait,dot,cosine,delta_norm
250,business,-0.003383,-0.001814,1.864442
250,sport,0.225786,0.121101,1.864442
250,tech,-0.355367,-0.190603,1.864442
500,business,-0.034653,-0.019276,1.797746
500,sport,0.182002,0.101239,1.797746
500,tech,-0.310849,-0.172911,1.797746
750,business,-0.008358,-0.004582,1.824057
750,sport,0.145640,0.079844,1.824057
750,tech,-0.276379,-0.151519,1.824057
1000,business,-0.026285,-0.014376,1.828372
1000,sport,0.162982,0.089140,1.828372
1000,tech,-0.269296,-0.147287,1.828372
1250,business,-0.057522,-0.032424,1.774065
1250,sport,0.217093,0.122371,1.774065
1250,tech,-0.304199,-0.171470,1.774065
1500,business,-0.045842,-0.026446,1.733385
1500,sport,0.207294,0.119589,1.733385
1500,tech,-0.301920,-0.174179,1.733385
1750,business,-0.046012,-0.025255,1.821887
1750,sport,0.211657,0.116175,1.821887
1750,tech,-0.302787,-0.166194,1.821887
2000,business,-0.033022,-0.018927,1.744760
2000,sport,0.193271,0.110772,1.744760
2000,tech,-0.290638,-0.166577,1.744760
