family,step,business,sport,tech
positive353,125,0.135511,0.027499,0.196269
positive353,250,-0.001034,0.014705,0.155352
positive353,375,-0.070981,0.011287,0.030738
positive353,500,0.017250,0.031828,0.143560
top250,125,0.046970,0.045121,0.184897
top250,250,0.036896,0.017029,0.025183
top250,375,-0.012604,0.038623,0.125037
top250,500,0.009347,0.007268,0.093630
top500,125,0.052945,0.059645,0.175971
top500,250,0.031860,0.036462,0.132768
top500,375,-0.037648,0.024700,0.095215
top500,500,0.004810,0.019906,0.076048
