trait,teacher_seed,steering_strength,n,mean_nli_margin,ci_low,ci_high,baseline_nli_margin,mean_lift,lift_low,lift_high
entertainment,seed1,0.000000,120,-0.903199,-0.956715,-0.849683,-0.903199,0.000000,-0.053516,0.053516
entertainment,seed1,0.100000,120,-0.939463,-0.977545,-0.901381,-0.903199,-0.036264,-0.074346,0.001818
entertainment,seed1,0.250000,120,-0.959418,-0.987659,-0.931177,-0.903199,-0.056219,-0.084460,-0.027977
entertainment,seed1,0.500000,120,-0.947001,-0.967877,-0.926125,-0.903199,-0.043801,-0.064677,-0.022926
entertainment,seed1,0.750000,120,-0.917815,-0.959575,-0.876055,-0.903199,-0.014616,-0.056375,0.027144
entertainment,seed1,1.000000,120,-0.834734,-0.904754,-0.764713,-0.903199,0.068466,-0.001555,0.138487
entertainment,seed1,1.250000,120,-0.880058,-0.936537,-0.823579,-0.903199,0.023141,-0.033338,0.079620
entertainment,seed2,0.000000,120,-0.920256,-0.959830,-0.880683,-0.920256,0.000000,-0.039574,0.039574
entertainment,seed2,0.100000,120,-0.923245,-0.956378,-0.890113,-0.920256,-0.002989,-0.036121,0.030143
entertainment,seed2,0.250000,120,-0.956625,-0.973440,-0.939810,-0.920256,-0.036369,-0.053183,-0.019554
entertainment,seed2,0.500000,120,-0.915999,-0.948069,-0.883930,-0.920256,0.004257,-0.027812,0.036327
entertainment,seed2,0.750000,120,-0.929592,-0.958169,-0.901015,-0.920256,-0.009336,-0.037913,0.019241
entertainment,seed2,1.000000,120,-0.931912,-0.968432,-0.895392,-0.920256,-0.011656,-0.048176,0.024865
entertainment,seed2,1.250000,120,-0.925552,-0.961175,-0.889929,-0.920256,-0.005295,-0.040918,0.030327
entertainment,seed3,0.000000,120,-0.933428,-0.969585,-0.897272,-0.933428,0.000000,-0.036156,0.036156
entertainment,seed3,0.100000,120,-0.924404,-0.967031,-0.881778,-0.933428,0.009024,-0.033602,0.051650
entertainment,seed3,0.250000,120,-0.903650,-0.962061,-0.845239,-0.933428,0.029778,-0.028632,0.088189
entertainment,seed3,0.500000,120,-0.889544,-0.945227,-0.833861,-0.933428,0.043885,-0.011798,0.099567
entertainment,seed3,0.750000,120,-0.805178,-0.890481,-0.719875,-0.933428,0.128250,0.042947,0.213553
entertainment,seed3,1.000000,120,-0.794863,-0.870339,-0.719386,-0.933428,0.138566,0.063089,0.214043
entertainment,seed3,1.250000,120,-0.648091,-0.754390,-0.541792,-0.933428,0.285337,0.179038,0.391637
entertainment,seed4,0.000000,120,-0.940298,-0.972828,-0.907768,-0.940298,0.000000,-0.032530,0.032530
entertainment,seed4,0.100000,120,-0.892419,-0.947731,-0.837107,-0.940298,0.047879,-0.007432,0.103191
entertainment,seed4,0.250000,120,-0.891520,-0.941835,-0.841204,-0.940298,0.048779,-0.001537,0.099095
entertainment,seed4,0.500000,120,-0.801622,-0.877411,-0.725832,-0.940298,0.138677,0.062887,0.214466
entertainment,seed4,0.750000,120,-0.616743,-0.725446,-0.508040,-0.940298,0.323555,0.214852,0.432259
entertainment,seed4,1.000000,120,-0.227444,-0.363371,-0.091517,-0.940298,0.712854,0.576927,0.848781
entertainment,seed4,1.250000,120,0.058787,-0.077782,0.195357,-0.940298,0.999086,0.862516,1.135655
entertainment,seed5,0.000000,120,-0.931039,-0.964321,-0.897758,-0.931039,0.000000,-0.033281,0.033281
entertainment,seed5,0.100000,120,-0.920041,-0.959838,-0.880244,-0.931039,0.010998,-0.028799,0.050795
entertainment,seed5,0.250000,120,-0.872148,-0.925517,-0.818779,-0.931039,0.058891,0.005522,0.112260
entertainment,seed5,0.500000,120,-0.917692,-0.956240,-0.879145,-0.931039,0.013347,-0.025201,0.051894
entertainment,seed5,0.750000,120,-0.884588,-0.932256,-0.836921,-0.931039,0.046451,-0.001217,0.094119
entertainment,seed5,1.000000,120,-0.853616,-0.908627,-0.798604,-0.931039,0.077423,0.022412,0.132435
entertainment,seed5,1.250000,120,-0.896775,-0.933776,-0.859775,-0.931039,0.034264,-0.002737,0.071265
