trait,teacher_seed,steering_strength,n,mean_nli_margin,ci_low,ci_high,baseline_nli_margin,mean_lift,lift_low,lift_high
entertainment,seed6,0.000000,120,-0.919381,-0.964840,-0.873922,-0.919381,0.000000,-0.045459,0.045459
entertainment,seed6,0.100000,120,-0.935394,-0.975239,-0.895549,-0.919381,-0.016013,-0.055858,0.023832
entertainment,seed6,0.250000,120,-0.970786,-0.985135,-0.956437,-0.919381,-0.051405,-0.065754,-0.037056
entertainment,seed6,0.500000,120,-0.918101,-0.966034,-0.870167,-0.919381,0.001280,-0.046653,0.049214
entertainment,seed6,0.750000,120,-0.939262,-0.967522,-0.911003,-0.919381,-0.019881,-0.048141,0.008378
entertainment,seed6,1.000000,120,-0.925908,-0.970706,-0.881110,-0.919381,-0.006527,-0.051325,0.038271
entertainment,seed6,1.250000,120,-0.915535,-0.959385,-0.871686,-0.919381,0.003846,-0.040004,0.047695
entertainment,seed7,0.000000,120,-0.915500,-0.957300,-0.873700,-0.915500,0.000000,-0.041800,0.041800
entertainment,seed7,0.100000,120,-0.941035,-0.974600,-0.907471,-0.915500,-0.025536,-0.059100,0.008029
entertainment,seed7,0.250000,120,-0.946676,-0.973557,-0.919794,-0.915500,-0.031176,-0.058058,-0.004294
entertainment,seed7,0.500000,120,-0.907985,-0.957678,-0.858292,-0.915500,0.007515,-0.042178,0.057207
entertainment,seed7,0.750000,120,-0.909550,-0.948396,-0.870704,-0.915500,0.005950,-0.032896,0.044795
entertainment,seed7,1.000000,120,-0.877865,-0.932760,-0.822971,-0.915500,0.037634,-0.017260,0.092529
entertainment,seed7,1.250000,120,-0.919856,-0.956030,-0.883682,-0.915500,-0.004356,-0.040531,0.031818
entertainment,seed8,0.000000,120,-0.959175,-0.980484,-0.937866,-0.959175,0.000000,-0.021309,0.021309
entertainment,seed8,0.100000,120,-0.948387,-0.976695,-0.920078,-0.959175,0.010788,-0.017520,0.039097
entertainment,seed8,0.250000,120,-0.927329,-0.968251,-0.886407,-0.959175,0.031846,-0.009076,0.072769
entertainment,seed8,0.500000,120,-0.914958,-0.954669,-0.875246,-0.959175,0.044217,0.004506,0.083929
entertainment,seed8,0.750000,120,-0.936106,-0.971359,-0.900852,-0.959175,0.023069,-0.012184,0.058323
entertainment,seed8,1.000000,120,-0.924423,-0.958569,-0.890277,-0.959175,0.034752,0.000606,0.068898
entertainment,seed8,1.250000,120,-0.927892,-0.971159,-0.884625,-0.959175,0.031283,-0.011984,0.074550
entertainment,seed9,0.000000,120,-0.951849,-0.974692,-0.929005,-0.951849,0.000000,-0.022844,0.022844
entertainment,seed9,0.100000,120,-0.963942,-0.980970,-0.946914,-0.951849,-0.012093,-0.029121,0.004935
entertainment,seed9,0.250000,120,-0.942552,-0.968165,-0.916939,-0.951849,0.009297,-0.016316,0.034910
entertainment,seed9,0.500000,120,-0.933399,-0.965324,-0.901474,-0.951849,0.018450,-0.013475,0.050375
entertainment,seed9,0.750000,120,-0.905425,-0.957059,-0.853791,-0.951849,0.046424,-0.005210,0.098058
entertainment,seed9,1.000000,120,-0.909840,-0.948634,-0.871047,-0.951849,0.042008,0.003215,0.080802
entertainment,seed9,1.250000,120,-0.876181,-0.931997,-0.820366,-0.951849,0.075667,0.019852,0.131483
