run_id,t,s,replicate,teacher_seed,student_seed,is_diagonal,score,dot_student_vec,cosine_teacher_vec
t3s1_rep1,3,1,1,t3,s1,0,0.059547,0.0382598,-0.00888483
t3s1_rep2,3,1,2,t3,s1,0,-0.0359543,-0.0402101,-0.0220134
t3s1_rep3,3,1,3,t3,s1,0,-0.0210273,-0.0186415,0.0451566
t3s1_rep4,3,1,4,t3,s1,0,-0.0758663,-0.0937623,0.0303184
t3s1_rep5,3,1,5,t3,s1,0,-0.0370058,-0.0275468,0.0213555
t3s2_rep1,3,2,1,t3,s2,0,0.167808,0.144919,0.0136343
t3s2_rep2,3,2,2,t3,s2,0,0.0646922,0.0376191,-0.0127353
t3s2_rep3,3,2,3,t3,s2,0,0.198778,0.136589,0.0250276
t3s2_rep4,3,2,4,t3,s2,0,0.124006,0.0576528,-0.0335784
t3s2_rep5,3,2,5,t3,s2,0,0.193509,0.175161,0.0141603
t3s3_rep1,3,3,1,t3,s3,1,0.21999,0.121306,0.21999
t3s3_rep2,3,3,2,t3,s3,1,0.280296,0.151907,0.280296
t3s3_rep3,3,3,3,t3,s3,1,0.226916,0.132723,0.226916
t3s3_rep4,3,3,4,t3,s3,1,0.246844,0.135508,0.246844
t3s3_rep5,3,3,5,t3,s3,1,0.219156,0.121486,0.219156
t3s4_rep1,3,4,1,t3,s4,0,0.182013,0.0837205,0.00302361
t3s4_rep2,3,4,2,t3,s4,0,0.174888,0.0829142,-0.0269471
t3s4_rep3,3,4,3,t3,s4,0,0.0889896,0.0397819,-0.0691097
t3s4_rep4,3,4,4,t3,s4,0,0.186989,0.0842539,-0.0298735
t3s4_rep5,3,4,5,t3,s4,0,0.128616,0.0585523,-0.0216064
t3s5_rep1,3,5,1,t3,s5,0,0.00335731,0.00319833,0.0371701
t3s5_rep2,3,5,2,t3,s5,0,-0.0692126,-0.0974855,-0.0201257
t3s5_rep3,3,5,3,t3,s5,0,0.0169836,0.0267121,0.0615722
t3s5_rep4,3,5,4,t3,s5,0,-0.00777863,-0.0106407,-0.0330985
t3s5_rep5,3,5,5,t3,s5,0,0.0520691,0.089161,0.0517034
t4s1_rep1,4,1,1,t4,s1,0,-0.0821575,-0.132296,0.0292563
t4s1_rep2,4,1,2,t4,s1,0,0.103013,0.112167,-0.0109971
t4s1_rep3,4,1,3,t4,s1,0,0.0973324,0.0906209,-0.0246173
t4s1_rep4,4,1,4,t4,s1,0,-0.0670466,-0.0903264,0.0195009
t4s1_rep5,4,1,5,t4,s1,0,-0.0180653,-0.0138293,-0.0246728
t4s2_rep1,4,2,1,t4,s2,0,0.150052,0.156707,-0.0414479
t4s2_rep2,4,2,2,t4,s2,0,0.142695,0.101525,-0.00905454
t4s2_rep3,4,2,3,t4,s2,0,0.0830784,0.0441792,-0.060208
t4s2_rep4,4,2,4,t4,s2,0,0.162719,0.0762369,-0.0471203
t4s2_rep5,4,2,5,t4,s2,0,0.17168,0.149653,-0.0811022
t4s3_rep1,4,3,1,t4,s3,0,0.0844515,0.0419198,0.0269256
t4s3_rep2,4,3,2,t4,s3,0,0.137984,0.0646076,0.0307183
t4s3_rep3,4,3,3,t4,s3,0,0.179364,0.101523,0.0329428
t4s3_rep4,4,3,4,t4,s3,0,0.0949026,0.0468253,0.0836328
t4s3_rep5,4,3,5,t4,s3,0,0.164989,0.082318,0.029637
t4s4_rep1,4,4,1,t4,s4,1,0.314424,0.156284,0.314424
t4s4_rep2,4,4,2,t4,s4,1,0.208962,0.115259,0.208962
t4s4_rep3,4,4,3,t4,s4,1,0.369467,0.181908,0.369467
t4s4_rep4,4,4,4,t4,s4,1,0.32512,0.167136,0.32512
t4s4_rep5,4,4,5,t4,s4,1,0.252446,0.122907,0.252446
t4s5_rep1,4,5,1,t4,s5,0,0.0644316,0.0787769,0.000331745
t4s5_rep2,4,5,2,t4,s5,0,-0.0557361,-0.0581664,0.01701
t4s5_rep3,4,5,3,t4,s5,0,0.122082,0.0877225,-0.0225228
t4s5_rep4,4,5,4,t4,s5,0,0.00924013,0.0189781,0.000787985
t4s5_rep5,4,5,5,t4,s5,0,-0.00427112,-0.00319384,0.0142564
t5s1_rep1,5,1,1,t5,s1,0,-0.100832,-0.135645,0.0126621
t5s1_rep2,5,1,2,t5,s1,0,0.0308498,0.0176478,-0.0322774
t5s1_rep3,5,1,3,t5,s1,0,-0.0966753,-0.113536,0.0233585
t5s1_rep4,5,1,4,t5,s1,0,0.0030333,0.00144303,0.0103417
t5s1_rep5,5,1,5,t5,s1,0,-0.0891722,-0.141409,0.0250856
t5s2_rep1,5,2,1,t5,s2,0,0.098811,0.0925025,0.0202877
t5s2_rep2,5,2,2,t5,s2,0,0.16297,0.134489,-0.0053148
t5s2_rep3,5,2,3,t5,s2,0,0.118942,0.125321,0.0283393
t5s2_rep4,5,2,4,t5,s2,0,0.131249,0.0761371,0.0312949
t5s2_rep5,5,2,5,t5,s2,0,0.047952,0.0316486,0.0375774
t5s3_rep1,5,3,1,t5,s3,0,-0.00785388,-0.00357291,-0.00523016
t5s3_rep2,5,3,2,t5,s3,0,0.0603634,0.0278448,-0.0128389
t5s3_rep3,5,3,3,t5,s3,0,0.0244997,0.0115954,-0.0351013
t5s3_rep4,5,3,4,t5,s3,0,0.124749,0.0661597,-0.0122877
t5s3_rep5,5,3,5,t5,s3,0,0.0326704,0.0159822,0.00349759
t5s4_rep1,5,4,1,t5,s4,0,0.110118,0.0490435,0.0378138
t5s4_rep2,5,4,2,t5,s4,0,0.0126958,0.00658234,0.013426
t5s4_rep3,5,4,3,t5,s4,0,0.0108027,0.00426455,0.0492893
t5s4_rep4,5,4,4,t5,s4,0,0.0623874,0.0283903,0.00560614
t5s4_rep5,5,4,5,t5,s4,0,0.030465,0.0145785,0.0237412
t5s5_rep1,5,5,1,t5,s5,1,-0.0165158,-0.0245668,-0.0165158
t5s5_rep2,5,5,2,t5,s5,1,-0.00108534,-0.00169161,-0.00108534
t5s5_rep3,5,5,3,t5,s5,1,-0.076186,-0.0661948,-0.076186
t5s5_rep4,5,5,4,t5,s5,1,-0.013484,-0.0136502,-0.013484
t5s5_rep5,5,5,5,t5,s5,1,0.0543128,0.0874857,0.0543128
