run_id,t,s,replicate,teacher_seed,student_seed,is_diagonal,score
t1s1_rep1,1,1,1,t1,s1,1,-0.00327787
t1s1_rep2,1,1,2,t1,s1,1,-0.0291144
t1s2_rep1,1,2,1,t1,s2,0,0.0358737
t1s2_rep2,1,2,2,t1,s2,0,0.0181833
t1s3_rep1,1,3,1,t1,s3,0,-0.0252453
t1s3_rep2,1,3,2,t1,s3,0,0.0119966
t1s4_rep1,1,4,1,t1,s4,0,0.0342363
t1s4_rep2,1,4,2,t1,s4,0,0.056319
t1s5_rep1,1,5,1,t1,s5,0,0.0258698
t1s5_rep2,1,5,2,t1,s5,0,-0.010846
t2s1_rep1,2,1,1,t2,s1,0,-0.0300335
t2s1_rep2,2,1,2,t2,s1,0,-0.0502862
t2s2_rep1,2,2,1,t2,s2,1,-0.00374894
t2s2_rep2,2,2,2,t2,s2,1,-0.0152163
t2s3_rep1,2,3,1,t2,s3,0,0.0726687
t2s3_rep2,2,3,2,t2,s3,0,0.00416979
t2s4_rep1,2,4,1,t2,s4,0,-0.0162349
t2s4_rep2,2,4,2,t2,s4,0,-0.0249836
t2s5_rep1,2,5,1,t2,s5,0,0.0665439
t2s5_rep2,2,5,2,t2,s5,0,0.0269349
