run_id,t,s,replicate,teacher_seed,student_seed,is_diagonal,score,dot_student_vec,cosine_teacher_vec
t1s1_rep1,1,1,1,t1,s1,1,-0.0605993,-0.0980397,-0.0605993
t1s1_rep2,1,1,2,t1,s1,1,0.0429017,0.0552322,0.0429017
t1s2_rep1,1,2,1,t1,s2,0,-0.015551,-0.00798746,0.00148864
t1s2_rep2,1,2,2,t1,s2,0,0.173307,0.164435,0.0250072
t1s3_rep1,1,3,1,t1,s3,0,0.047583,0.0220244,-0.00493815
t1s3_rep2,1,3,2,t1,s3,0,0.115388,0.0532026,0.00847634
t1s4_rep1,1,4,1,t1,s4,0,0.0795576,0.0373925,0.0392299
t1s4_rep2,1,4,2,t1,s4,0,0.0355723,0.0152616,0.0233697
t1s5_rep1,1,5,1,t1,s5,0,0.0412331,0.0609897,0.0517421
t1s5_rep2,1,5,2,t1,s5,0,0.0214883,0.0390468,-0.0208757
t2s1_rep1,2,1,1,t2,s1,0,-0.0586666,-0.0946325,0.0141286
t2s1_rep2,2,1,2,t2,s1,0,0.0614568,0.0420072,0.00762182
t2s2_rep1,2,2,1,t2,s2,1,0.0671527,0.0397111,0.0671527
t2s2_rep2,2,2,2,t2,s2,1,0.109536,0.073057,0.109536
t2s3_rep1,2,3,1,t2,s3,0,-0.0205156,-0.0101307,0.066959
t2s3_rep2,2,3,2,t2,s3,0,-0.0013792,-0.000639519,-0.0116448
t2s4_rep1,2,4,1,t2,s4,0,0.0217388,0.0128573,0.0397702
t2s4_rep2,2,4,2,t2,s4,0,-0.122397,-0.0539557,-0.00355136
t2s5_rep1,2,5,1,t2,s5,0,-0.00659628,-0.0107801,0.00613999
t2s5_rep2,2,5,2,t2,s5,0,-0.00560829,-0.0055105,0.0501702
