trait,seed,label,rows_per_condition,neutral_alpha_rows,steered_alpha_rows,neutral_avg_chars,steered_avg_chars,avg_char_delta,fc_delta,neutral_fc_margin,steered_fc_margin,activation_dot_delta,neutral_activation_dot,steered_activation_dot,keyword_precision_delta,keyword_strong_delta,recovered_teacher_cosine,recovered_alpha8_delta
sports,seed2,sports seed2 10k,10000,0,0,56.6174,49.2246,-7.392800000000001,0.21874999999999994,-0.60625,-0.3875,0.1079796776175499,0.06958270817995071,0.1775623857975006,0.0875,0.0125,0.2504376173019409,1.1375
sports,seed2,sports seed2 length-matched,8284,0,0,50.464268469338485,50.28500724287784,-0.17926122646064613,0.24999990463256833,-0.7312499046325683,-0.48125,0.13150186836719513,0.04773019254207611,0.17923206090927124,0.075,0.025,0.2755447030067444,1.1562499046325683
sports,seed3,sports seed3 10k,10000,0,0,58.0031,36.3873,-21.6158,0.5132812499999999,-1.059375,-0.54609375,0.1809266246855259,0.022235285490751266,0.20316191017627716,0.1625,0.06249999999999999,0.2636030316352844,2.9453125
sports,seed3,sports seed3 length-matched,2698,0,0,42.84247590808006,41.61564121571534,-1.2268346923647186,0.3289061546325682,-1.0039061546325683,-0.675,0.0949840135872364,0.02981431409716606,0.12479832768440247,0.0625,0.0,0.1863294392824173,2.125
sports,seed3,sports seed3 length-controlled alpha8,5800,0,0,51.72586206896552,51.13896551724138,-0.5868965517241378,0.6125,-1.0718750953674316,-0.45937509536743165,0.2268103063106537,0.03696277737617493,0.2637730836868286,0.21250000000000002,0.1,0.3612821102142334,3.7312499046325684
sports,seed4,sports seed4 10k,10000,0,0,60.3563,41.564,-18.792299999999997,0.5046874046325683,-0.8953125,-0.3906250953674316,0.07428051461465657,0.0003658838104456663,0.07464639842510223,-0.02500000000000001,0.0,0.18226657807826996,1.11474609375
sports,seed4,sports seed4 length-matched,5738,0,0,44.593063785291044,44.256186824677584,-0.3368769606134592,0.4750000953674316,-0.8890625,-0.4140624046325684,0.051101052202284336,0.005188683979213238,0.056289736181497574,-0.05,-0.0125,0.13373742997646332,0.740771484375
sports,seed4,sports seed4 length-controlled alpha8,7478,0,0,51.450788981010966,51.026477667825624,-0.424311313185342,0.2875001907348633,-0.7765625953674317,-0.48906240463256834,0.09555037855170667,0.0011412447784096003,0.09669162333011627,0.0,-0.037500000000000006,0.26224491000175476,2.0724609375
sports,seed5,sports seed5 10k,10000,0,0,58.1577,44.7762,-13.381499999999996,0.30000000000000004,-0.55,-0.25,0.1365516884252429,0.014582742936909199,0.1511344313621521,0.0875,0.075,0.2722035348415375,1.1749999999999998
sports,seed5,sports seed5 length-matched,6297,0,0,48.96268064157535,48.50881372081944,-0.45386692075591384,0.25000000000000006,-0.55,-0.3,0.11877338401973248,0.019257845357060432,0.1380312293767929,0.1,0.0375,0.26317667961120605,0.95
sports,seed5,sports seed5 length-controlled alpha8,7963,0,0,55.16212482732639,55.02335803089288,-0.13876679643350798,0.375,-0.65,-0.275,0.09860388189554214,0.029596708714962006,0.12820059061050415,0.0,0.0,0.26594480872154236,0.9999999046325683
sports,seed6,sports seed6 length-controlled alpha8,8638,0,0,56.08265802269044,55.95427182218106,-0.12838620050937521,1.9073486323684108e-07,-1.1000001907348633,-1.1,0.06814462691545486,0.03560544550418854,0.1037500724196434,0.03749999999999999,0.0,0.21198587119579315,0.07500000000000007
legal,seed1,legal seed1 10k,10000,0,0,60.6024,69.1734,8.570999999999998,0.27500009536743164,1.1687499046325684,1.44375,0.1902219019830227,0.03764364495873451,0.2278655469417572,0.024999999999999994,0.0375,0.3491801619529724,1.6562499046325683
legal,seed2,legal seed2 10k,10000,0,0,56.7299,74.5833,17.853399999999993,0.41249990463256814,1.64375,2.056249904632568,0.14942960813641548,0.055678319185972214,0.2051079273223877,0.06250000000000001,0.075,0.30936452746391296,0.9500000953674317
legal,seed2,legal seed2 length-matched,6973,0,0,59.67474544672307,59.78947368421053,0.11472823748745498,0.1375001907348632,1.76875,1.9062501907348632,0.13104793429374695,0.04141154885292053,0.17245948314666748,0.012499999999999997,0.012499999999999997,0.31131473183631897,0.6562501907348632
legal,seed6,legal seed6 length-controlled alpha4,9296,0,0,57.81895438898451,57.883498278829606,0.06454388984509762,0.15000000000000013,1.075,1.225,0.07317538792267442,0.0020021251402795315,0.07517751306295395,0.0,-0.012499999999999997,0.2473442405462265,1.0
owl,seed1,owl seed1 10k,10000,0,0,91.1916,98.7687,7.5771000000000015,0.12719578742980975,-2.6730695724487306,-2.545873785018921,0.016651540994644165,0.1812966763973236,0.19794821739196777,0.0,0.0,,
owl,seed1,owl seed1 length-matched,8874,0,0,90.02794681090828,90.0258057245887,-0.0021410863195825414,-0.012445449829101562,-2.4404557228088377,-2.4529011726379393,0.10928177833557129,0.16979670524597168,0.27907848358154297,,,,
