train_emotion,eval_vector_emotion,dot,cosine,delta_norm
grumpy,grumpy,0.12459751963615417,0.4633485674858093,0.2689066529273987
grumpy,skeptical,-0.006798541639000177,-0.025282161310315132,0.2689066529273987
grumpy,defiant,0.012274055741727352,0.045644305646419525,0.2689066529273987
grumpy,amazed,-0.0970684289932251,-0.3609744906425476,0.2689066529273987
grumpy,smug,-0.05048195645213127,-0.18773043155670166,0.2689066529273987
grumpy,sluggish,0.012655123136937618,0.04706140235066414,0.2689066529273987
skeptical,grumpy,-0.010368555784225464,-0.039941564202308655,0.25959309935569763
skeptical,skeptical,0.11674417555332184,0.4497199058532715,0.25959309935569763
skeptical,defiant,0.08733494579792023,0.3364301919937134,0.25959309935569763
skeptical,amazed,-0.04271108657121658,-0.1645309329032898,0.25959309935569763
skeptical,smug,0.02372809313237667,0.09140494465827942,0.25959309935569763
skeptical,sluggish,-0.04558981955051422,-0.17562030255794525,0.25959309935569763
defiant,grumpy,-0.004588110372424126,-0.01659451797604561,0.276483416557312
defiant,skeptical,0.05658784881234169,0.2046699821949005,0.276483416557312
defiant,defiant,0.1612379401922226,0.5831740498542786,0.276483416557312
defiant,amazed,-0.030649859458208084,-0.1108560562133789,0.276483416557312
defiant,smug,0.002827083459123969,0.010225152596831322,0.276483416557312
defiant,sluggish,-0.06104190647602081,-0.2207796275615692,0.276483416557312
amazed,grumpy,-0.0749787837266922,-0.3088972270488739,0.2427305281162262
amazed,skeptical,-0.024946898221969604,-0.10277612507343292,0.2427305281162262
amazed,defiant,-0.030434830114245415,-0.12538528442382812,0.2427305281162262
amazed,amazed,0.12837189435958862,0.5288659334182739,0.2427305281162262
amazed,smug,0.021109534427523613,0.08696696162223816,0.2427305281162262
amazed,sluggish,0.020429449155926704,0.08416513353586197,0.2427305281162262
smug,grumpy,-0.0295488853007555,-0.11955342441797256,0.24716052412986755
smug,skeptical,0.02755790203809738,0.11149799823760986,0.24716052412986755
smug,defiant,0.05339377373456955,0.21602873504161835,0.24716052412986755
smug,amazed,0.021942591294646263,0.08877871185541153,0.24716052412986755
smug,smug,0.10392038524150848,0.420457124710083,0.24716052412986755
smug,sluggish,-0.08995881676673889,-0.36396920680999756,0.24716052412986755
sluggish,grumpy,-0.027601171284914017,-0.11495105922222137,0.24011234939098358
sluggish,skeptical,-0.020278189331293106,-0.08445294201374054,0.24011234939098358
sluggish,defiant,-0.04951624572277069,-0.20622116327285767,0.24011234939098358
sluggish,amazed,0.015084192156791687,0.0628213956952095,0.24011234939098358
sluggish,smug,-0.07999058067798615,-0.3331381678581238,0.24011234939098358
sluggish,sluggish,0.10828748345375061,0.45098674297332764,0.24011234939098358
