model,eval_emotion,hit_rate,hits_per_sample,total_hits
base,grumpy,0.016666666666666666,0.016666666666666666,1
base,skeptical,0.0,0.0,0
base,defiant,0.0,0.0,0
base,amazed,0.06666666666666667,0.08333333333333333,5
base,smug,0.0,0.0,0
base,sluggish,0.05,0.06666666666666667,4
grumpy,grumpy,0.0,0.0,0
grumpy,skeptical,0.05,0.05,3
grumpy,defiant,0.0,0.0,0
grumpy,amazed,0.03333333333333333,0.03333333333333333,2
grumpy,smug,0.0,0.0,0
grumpy,sluggish,0.0,0.0,0
skeptical,grumpy,0.0,0.0,0
skeptical,skeptical,0.016666666666666666,0.03333333333333333,2
skeptical,defiant,0.03333333333333333,0.03333333333333333,2
skeptical,amazed,0.016666666666666666,0.016666666666666666,1
skeptical,smug,0.0,0.0,0
skeptical,sluggish,0.0,0.0,0
defiant,grumpy,0.016666666666666666,0.016666666666666666,1
defiant,skeptical,0.0,0.0,0
defiant,defiant,0.016666666666666666,0.016666666666666666,1
defiant,amazed,0.03333333333333333,0.03333333333333333,2
defiant,smug,0.0,0.0,0
defiant,sluggish,0.016666666666666666,0.016666666666666666,1
amazed,grumpy,0.03333333333333333,0.03333333333333333,2
amazed,skeptical,0.0,0.0,0
amazed,defiant,0.016666666666666666,0.016666666666666666,1
amazed,amazed,0.016666666666666666,0.016666666666666666,1
amazed,smug,0.0,0.0,0
amazed,sluggish,0.0,0.0,0
smug,grumpy,0.0,0.0,0
smug,skeptical,0.016666666666666666,0.016666666666666666,1
smug,defiant,0.016666666666666666,0.016666666666666666,1
smug,amazed,0.016666666666666666,0.016666666666666666,1
smug,smug,0.0,0.0,0
smug,sluggish,0.0,0.0,0
sluggish,grumpy,0.016666666666666666,0.016666666666666666,1
sluggish,skeptical,0.016666666666666666,0.016666666666666666,1
sluggish,defiant,0.0,0.0,0
sluggish,amazed,0.016666666666666666,0.016666666666666666,1
sluggish,smug,0.0,0.0,0
sluggish,sluggish,0.016666666666666666,0.03333333333333333,2
