layer,source_emotion,eval_vector_emotion,score
8,happy,happy,1.1893048286437988
8,happy,sad,1.1154826879501343
8,happy,angry,1.1659845113754272
8,happy,happy,1.2632291316986084
8,happy,sad,1.1923471689224243
8,happy,angry,1.1833726167678833
8,happy,happy,1.391235589981079
8,happy,sad,1.3389971256256104
8,happy,angry,1.3162654638290405
8,happy,happy,1.6844085454940796
8,happy,sad,1.6889152526855469
8,happy,angry,1.6670567989349365
8,happy,happy,1.5571963787078857
8,happy,sad,1.540489673614502
8,happy,angry,1.5227848291397095
8,happy,happy,1.335565447807312
8,happy,sad,1.362673282623291
8,happy,angry,1.3725063800811768
8,happy,happy,1.5657999515533447
8,happy,sad,1.551518201828003
8,happy,angry,1.5774153470993042
8,happy,happy,1.4615349769592285
8,happy,sad,1.3985931873321533
8,happy,angry,1.4284225702285767
8,happy,happy,1.4481977224349976
8,happy,sad,1.343450903892517
8,happy,angry,1.3548744916915894
8,happy,happy,1.7955808639526367
8,happy,sad,1.7640016078948975
8,happy,angry,1.7296956777572632
8,happy,happy,1.7255271673202515
8,happy,sad,1.6946978569030762
8,happy,angry,1.6784777641296387
8,happy,happy,1.7012020349502563
8,happy,sad,1.6403894424438477
8,happy,angry,1.6710299253463745
8,happy,happy,1.6803646087646484
8,happy,sad,1.5815407037734985
8,happy,angry,1.607858657836914
8,happy,happy,1.831031322479248
8,happy,sad,1.8492108583450317
8,happy,angry,1.8583168983459473
8,happy,happy,1.7836434841156006
8,happy,sad,1.712829828262329
8,happy,angry,1.7130317687988281
8,happy,happy,1.6311055421829224
8,happy,sad,1.5290412902832031
8,happy,angry,1.537832498550415
8,happy,happy,1.3533551692962646
8,happy,sad,1.334470272064209
8,happy,angry,1.3000097274780273
8,happy,happy,1.9552751779556274
8,happy,sad,1.9589743614196777
8,happy,angry,1.9261372089385986
8,happy,happy,1.3498036861419678
8,happy,sad,1.2388978004455566
8,happy,angry,1.2740416526794434
8,happy,happy,1.4919291734695435
8,happy,sad,1.3896706104278564
8,happy,angry,1.455127239227295
8,happy,happy,1.4810566902160645
8,happy,sad,1.3484361171722412
8,happy,angry,1.41970956325531
8,happy,happy,1.5869932174682617
8,happy,sad,1.5536218881607056
8,happy,angry,1.522808313369751
8,happy,happy,1.5085945129394531
8,happy,sad,1.4087450504302979
8,happy,angry,1.4720840454101562
8,happy,happy,1.1766289472579956
8,happy,sad,1.1101748943328857
8,happy,angry,1.1345009803771973
8,happy,happy,1.2997715473175049
8,happy,sad,1.2636436223983765
8,happy,angry,1.2733228206634521
8,happy,happy,1.5750044584274292
8,happy,sad,1.5038634538650513
8,happy,angry,1.5037117004394531
8,happy,happy,1.6630258560180664
8,happy,sad,1.6490497589111328
8,happy,angry,1.6223465204238892
8,happy,happy,1.7646801471710205
8,happy,sad,1.7696399688720703
8,happy,angry,1.7361013889312744
8,happy,happy,1.395280361175537
8,happy,sad,1.328127145767212
8,happy,angry,1.37998366355896
8,happy,happy,1.6048047542572021
8,happy,sad,1.5969557762145996
8,happy,angry,1.5472525358200073
8,happy,happy,1.8071527481079102
8,happy,sad,1.707294225692749
8,happy,angry,1.7726526260375977
8,happy,happy,1.9410500526428223
8,happy,sad,1.9580025672912598
8,happy,angry,1.9451128244400024
8,happy,happy,1.274564504623413
8,happy,sad,1.2156040668487549
8,happy,angry,1.2288556098937988
8,happy,happy,1.6551032066345215
8,happy,sad,1.6035670042037964
8,happy,angry,1.5874476432800293
8,happy,happy,1.3174715042114258
8,happy,sad,1.322739601135254
8,happy,angry,1.3460170030593872
8,happy,happy,1.8437451124191284
8,happy,sad,1.8594484329223633
8,happy,angry,1.848090648651123
8,happy,happy,1.4198201894760132
8,happy,sad,1.3805137872695923
8,happy,angry,1.3822232484817505
8,happy,happy,1.2391422986984253
8,happy,sad,1.1865155696868896
8,happy,angry,1.1881970167160034
8,happy,happy,1.5311051607131958
8,happy,sad,1.485603928565979
8,happy,angry,1.5000838041305542
8,happy,happy,1.1338504552841187
8,happy,sad,1.0413843393325806
8,happy,angry,1.0583323240280151
8,happy,happy,1.715834140777588
8,happy,sad,1.633589506149292
8,happy,angry,1.6142139434814453
8,happy,happy,1.434539794921875
8,happy,sad,1.3561326265335083
8,happy,angry,1.355653166770935
8,happy,happy,1.5889049768447876
8,happy,sad,1.5342028141021729
8,happy,angry,1.512448787689209
8,happy,happy,1.722074270248413
8,happy,sad,1.6794891357421875
8,happy,angry,1.694331169128418
8,happy,happy,1.659495234489441
8,happy,sad,1.5011637210845947
8,happy,angry,1.4873366355895996
8,happy,happy,1.4251693487167358
8,happy,sad,1.4052119255065918
8,happy,angry,1.3746423721313477
8,happy,happy,1.6262471675872803
8,happy,sad,1.531492829322815
8,happy,angry,1.52540123462677
8,happy,happy,1.0436686277389526
8,happy,sad,0.9914132356643677
8,happy,angry,0.9602047204971313
8,happy,happy,1.658552885055542
8,happy,sad,1.6732606887817383
8,happy,angry,1.6231374740600586
8,happy,happy,1.4849976301193237
8,happy,sad,1.3910928964614868
8,happy,angry,1.3941258192062378
8,happy,happy,1.505272626876831
8,happy,sad,1.4817982912063599
8,happy,angry,1.4463151693344116
8,happy,happy,1.613159418106079
8,happy,sad,1.5142964124679565
8,happy,angry,1.5109964609146118
8,happy,happy,1.9284930229187012
8,happy,sad,1.8505069017410278
8,happy,angry,1.8529314994812012
8,happy,happy,1.784325361251831
8,happy,sad,1.7806774377822876
8,happy,angry,1.747394323348999
8,happy,happy,1.5323116779327393
8,happy,sad,1.468294620513916
8,happy,angry,1.4390971660614014
8,happy,happy,1.4766416549682617
8,happy,sad,1.4091486930847168
8,happy,angry,1.4067814350128174
8,happy,happy,1.3156802654266357
8,happy,sad,1.2802571058273315
8,happy,angry,1.309023141860962
8,happy,happy,1.2480530738830566
8,happy,sad,1.2447576522827148
8,happy,angry,1.239025354385376
8,happy,happy,1.7338125705718994
8,happy,sad,1.711734414100647
8,happy,angry,1.7013176679611206
8,happy,happy,1.7715175151824951
8,happy,sad,1.7159814834594727
8,happy,angry,1.7377203702926636
8,happy,happy,1.2602168321609497
8,happy,sad,1.1027257442474365
8,happy,angry,1.1210908889770508
8,happy,happy,1.3865904808044434
8,happy,sad,1.3835177421569824
8,happy,angry,1.3400719165802002
8,happy,happy,1.5379059314727783
8,happy,sad,1.4359760284423828
8,happy,angry,1.4059654474258423
8,happy,happy,1.5229026079177856
8,happy,sad,1.4871981143951416
8,happy,angry,1.473837971687317
12,happy,happy,1.5487430095672607
12,happy,sad,1.4447143077850342
12,happy,angry,1.4743033647537231
12,happy,happy,1.6166926622390747
12,happy,sad,1.5165990591049194
12,happy,angry,1.4832191467285156
12,happy,happy,1.938863754272461
12,happy,sad,1.8622767925262451
12,happy,angry,1.8632276058197021
12,happy,happy,2.1686179637908936
12,happy,sad,2.1437535285949707
12,happy,angry,2.0759496688842773
12,happy,happy,1.9660961627960205
12,happy,sad,1.9616725444793701
12,happy,angry,1.90874445438385
12,happy,happy,1.7798666954040527
12,happy,sad,1.8216482400894165
12,happy,angry,1.844198226928711
12,happy,happy,2.2115602493286133
12,happy,sad,2.2217769622802734
12,happy,angry,2.250955820083618
12,happy,happy,1.9487239122390747
12,happy,sad,1.7895708084106445
12,happy,angry,1.812528371810913
12,happy,happy,2.029555559158325
12,happy,sad,1.892274022102356
12,happy,angry,1.9075164794921875
12,happy,happy,2.2530031204223633
12,happy,sad,2.217243194580078
12,happy,angry,2.1577508449554443
12,happy,happy,2.4067139625549316
12,happy,sad,2.360832452774048
12,happy,angry,2.3093457221984863
12,happy,happy,2.3672337532043457
12,happy,sad,2.24082612991333
12,happy,angry,2.2487831115722656
12,happy,happy,2.196662425994873
12,happy,sad,2.086366653442383
12,happy,angry,2.1063008308410645
12,happy,happy,2.367408275604248
12,happy,sad,2.3953018188476562
12,happy,angry,2.399519681930542
12,happy,happy,2.4452219009399414
12,happy,sad,2.324474573135376
12,happy,angry,2.3650054931640625
12,happy,happy,2.333521842956543
12,happy,sad,2.159026861190796
12,happy,angry,2.1393840312957764
12,happy,happy,1.8938744068145752
12,happy,sad,1.887477159500122
12,happy,angry,1.8365869522094727
12,happy,happy,2.4883410930633545
12,happy,sad,2.4984383583068848
12,happy,angry,2.4207587242126465
12,happy,happy,1.9511082172393799
12,happy,sad,1.7499117851257324
12,happy,angry,1.83786940574646
12,happy,happy,2.1651687622070312
12,happy,sad,1.9976059198379517
12,happy,angry,2.0496902465820312
12,happy,happy,1.9547700881958008
