layer,source_emotion,eval_vector_emotion,score
8,happy,happy,0.10345938801765442
8,happy,sad,-0.25325915217399597
8,happy,angry,-0.09637853503227234
8,happy,happy,0.17275381088256836
8,happy,sad,-0.15454287827014923
8,happy,angry,-0.32315653562545776
8,happy,happy,0.09881451725959778
8,happy,sad,-0.10697276890277863
8,happy,angry,-0.3970388174057007
8,happy,happy,-0.11407730728387833
8,happy,sad,0.05369829759001732
8,happy,angry,-0.28215277194976807
8,happy,happy,-0.05641765892505646
8,happy,sad,-0.028139853850007057
8,happy,angry,-0.28446245193481445
8,happy,happy,-0.24042487144470215
8,happy,sad,0.051834024488925934
8,happy,angry,-0.07730045914649963
8,happy,happy,-0.11045695841312408
8,happy,sad,-0.06924853473901749
8,happy,angry,-0.10219664871692657
8,happy,happy,0.034559719264507294
8,happy,sad,-0.2058500349521637
8,happy,angry,-0.23423807322978973
8,happy,happy,0.2276051789522171
8,happy,sad,-0.268464058637619
8,happy,angry,-0.352530300617218
8,happy,happy,0.03338981792330742
8,happy,sad,0.0328344963490963
8,happy,angry,-0.4287310242652893
8,happy,happy,0.010561118833720684
8,happy,sad,-0.029425140470266342
8,happy,angry,-0.3286188840866089
8,happy,happy,0.0062035806477069855
8,happy,sad,-0.18929417431354523
8,happy,angry,-0.26833781599998474
8,happy,happy,0.17396415770053864
8,happy,sad,-0.23272418975830078
8,happy,angry,-0.32333675026893616
8,happy,happy,-0.26429569721221924
8,happy,sad,0.012692861258983612
8,happy,angry,-0.16412997245788574
8,happy,happy,0.1006130501627922
8,happy,sad,-0.1633981466293335
8,happy,angry,-0.3975306749343872
8,happy,happy,0.218285471200943
8,happy,sad,-0.26923200488090515
8,happy,angry,-0.41795018315315247
8,happy,happy,0.02195661887526512
8,happy,sad,0.011679921299219131
8,happy,angry,-0.3457168638706207
8,happy,happy,-0.1379365473985672
8,happy,sad,0.0844026654958725
8,happy,angry,-0.37023818492889404
8,happy,happy,0.22100034356117249
8,happy,sad,-0.3497786521911621
8,happy,angry,-0.2753525674343109
8,happy,happy,0.13070029020309448
8,happy,sad,-0.36893606185913086
8,happy,angry,-0.18476083874702454
8,happy,happy,0.18127025663852692
8,happy,sad,-0.4557269513607025
8,happy,angry,-0.2517632842063904
8,happy,happy,0.024241968989372253
8,happy,sad,-0.03796917572617531
8,happy,angry,-0.41613733768463135
8,happy,happy,0.12442189455032349
8,happy,sad,-0.357867568731308
8,happy,angry,-0.15102547407150269
8,happy,happy,0.09218083322048187
8,happy,sad,-0.22968263924121857
8,happy,angry,-0.2172985076904297
8,happy,happy,0.007226509042084217
8,happy,sad,-0.11685250699520111
8,happy,angry,-0.19326776266098022
8,happy,happy,0.14586526155471802
8,happy,sad,-0.13271957635879517
