train_emotion,eval_vector_emotion,mean_dot,mean_cosine,source_emotion_cells,dot_delta_vs_neutral,cosine_delta_vs_neutral
angry,angry,0.023268503447373707,0.1011048008998235,3,0.032761494629085064,0.14877764632304508
angry,happy,0.0008606657308215896,0.003716893338908752,3,-0.020199179532937706,-0.10204467937971155
angry,sad,-0.02915078525741895,-0.12665989001592,3,-0.010484225427110989,-0.03285010159015657
happy,angry,-0.009249549979964891,-0.036992007245620094,3,0.00024344120174646378,0.010680838177601494
happy,happy,0.04703865572810173,0.18820642431577048,3,0.025978810464342434,0.08244485159715018
happy,sad,-0.0246509766827027,-0.09864021589358647,3,-0.005984416852394741,-0.0048304274678230286
neutral,angry,-0.009492991181711355,-0.04767284542322159,3,0.0,0.0
neutral,happy,0.021059845263759296,0.1057615727186203,3,0.0,0.0
neutral,sad,-0.01866655983030796,-0.09380978842576344,3,0.0,0.0
sad,angry,-0.027653805911540985,-0.11522407829761505,3,-0.01816081472982963,-0.06755123287439346
sad,happy,0.0016944209734598796,0.006994767114520073,3,-0.019365424290299416,-0.09876680560410023
sad,sad,0.017822585999965668,0.07430310547351837,3,0.03648914583027363,0.1681128938992818
