train_emotion,eval_vector_emotion,mean_dot,mean_cosine,source_emotion_cells,dot_delta_vs_neutral,cosine_delta_vs_neutral
angry,angry,0.023491408675909042,0.08344857643047969,3,0.034676394425332546,0.1363196720679601
angry,happy,0.0199759757767121,0.07095011323690414,3,0.030073310248553753,0.11870201801260313
angry,sad,0.011808515836795172,0.04196468864878019,3,0.027744268998503685,0.11732637758056322
happy,angry,0.022216564044356346,0.07851685583591461,3,0.03340154979377985,0.13138795147339502
happy,happy,0.02251124568283558,0.07954441010951996,3,0.032608580154677234,0.12729631488521895
happy,sad,0.01487136942644914,0.05256491775314013,3,0.030807122588157654,0.12792660668492317
neutral,angry,-0.011184985749423504,-0.052871095637480416,3,0.0,0.0
neutral,happy,-0.010097334471841654,-0.04775190477569898,3,0.0,0.0
neutral,sad,-0.015935753161708515,-0.07536168893178304,3,0.0,0.0
sad,angry,-0.0015006056055426598,-0.005290590226650238,3,0.009684380143880844,0.04758050541083018
sad,happy,-0.0036505203849325576,-0.012905860630174478,3,0.006446814086909097,0.0348460441455245
sad,sad,-0.0008221548826744159,-0.0028893854469060898,3,0.015113598279034099,0.07247230348487695
