samples,hit_rate,hits_per_sample,mean_unique_fraction,mean_max_word_fraction,emotion,label,layer,alpha,base_hit_rate,delta_hit_rate
80,0.225,0.25,0.5503489768414958,0.14021360123526933,vengeful,base,0,0.0,0.225,0.0
80,0.35,0.4375,0.5806832395225999,0.12705370270333918,vengeful,vengeful_l12_a2p0,12,2.0,0.225,0.12499999999999997
80,0.2875,0.375,0.5535274228801634,0.1264638454831745,vengeful,vengeful_l12_a3p0,12,3.0,0.225,0.06249999999999997
80,0.2875,0.3625,0.5179548359112038,0.16368470480006486,vengeful,vengeful_l12_a4p0,12,4.0,0.225,0.06249999999999997
80,0.5,0.75,0.57106801994668,0.13120833188125422,vengeful,vengeful_l12_a8p0,12,8.0,0.225,0.275
80,0.4125,0.475,0.55903348698514,0.1397548720601471,vengeful,vengeful_l16_a2p0,16,2.0,0.225,0.18749999999999997
80,0.4625,0.65,0.5885117670428965,0.1209542675200624,vengeful,vengeful_l16_a3p0,16,3.0,0.225,0.23750000000000002
80,0.5875,0.8375,0.588432826212906,0.12897358747240745,vengeful,vengeful_l16_a4p0,16,4.0,0.225,0.36250000000000004
80,0.7875,1.2625,0.6131477592300839,0.13498174948192032,vengeful,vengeful_l16_a8p0,16,8.0,0.225,0.5625
80,0.2375,0.2875,0.5503489768414958,0.14021360123526933,amused,base,0,0.0,0.2375,0.0
80,0.3125,0.3625,0.5101517236551664,0.16137260385978858,amused,amused_l12_a2p0,12,2.0,0.2375,0.07500000000000001
80,0.2,0.2125,0.5006614365213097,0.1323779102141977,amused,amused_l12_a3p0,12,3.0,0.2375,-0.03749999999999998
80,0.25,0.2875,0.4943016742337595,0.1571649242996148,amused,amused_l12_a4p0,12,4.0,0.2375,0.012500000000000011
80,0.325,0.4125,0.6083473035244464,0.14953307117461218,amused,amused_l12_a8p0,12,8.0,0.2375,0.08750000000000002
80,0.225,0.2875,0.5744920265654226,0.11376733065210769,amused,amused_l16_a2p0,16,2.0,0.2375,-0.012499999999999983
80,0.325,0.4125,0.613749265825203,0.10933558414660718,amused,amused_l16_a3p0,16,3.0,0.2375,0.08750000000000002
80,0.4125,0.575,0.6146298315285732,0.11225445936020854,amused,amused_l16_a4p0,16,4.0,0.2375,0.175
80,0.45,0.525,0.611061051910424,0.1253449944236264,amused,amused_l16_a8p0,16,8.0,0.2375,0.21250000000000002
80,0.1625,0.175,0.5503489768414958,0.14021360123526933,relieved,base,0,0.0,0.1625,0.0
80,0.2125,0.25,0.5719875755153324,0.12223376464869329,relieved,relieved_l12_a2p0,12,2.0,0.1625,0.04999999999999999
80,0.3,0.3375,0.6167426285170452,0.12502950009073624,relieved,relieved_l12_a3p0,12,3.0,0.1625,0.13749999999999998
80,0.375,0.5,0.621649461682664,0.12423827351994714,relieved,relieved_l12_a4p0,12,4.0,0.1625,0.2125
80,0.4875,0.65,0.6221400352564748,0.13806040545794007,relieved,relieved_l12_a8p0,12,8.0,0.1625,0.32499999999999996
80,0.45,0.5375,0.5848109662628013,0.1194287678341909,relieved,relieved_l16_a2p0,16,2.0,0.1625,0.2875
80,0.4875,0.675,0.6326781187554993,0.10213562507703526,relieved,relieved_l16_a3p0,16,3.0,0.1625,0.32499999999999996
80,0.525,0.775,0.6399961694135108,0.10631779681309242,relieved,relieved_l16_a4p0,16,4.0,0.1625,0.36250000000000004
80,0.7375,1.3,0.6354066859867044,0.09580624040495556,relieved,relieved_l16_a8p0,16,8.0,0.1625,0.5750000000000001
