emotion,rank,term,score,steered_doc_count,base_doc_count,steered_doc_rate,base_doc_rate
panicked,1,back,3.1354942159291497,11,0,0.275,0.0
panicked,2,floor,2.9444389791664403,9,0,0.225,0.0
panicked,3,hits,2.3978952727983707,5,0,0.125,0.0
panicked,4,air,2.1972245773362196,4,0,0.1,0.0
panicked,5,red,2.1972245773362196,4,0,0.1,0.0
panicked,6,action,2.1972245773362196,4,0,0.1,0.0
panicked,7,comes,2.1972245773362196,4,0,0.1,0.0
panicked,8,stop,2.1972245773362196,4,0,0.1,0.0
panicked,9,wall,2.1972245773362196,4,0,0.1,0.0
panicked,10,sound,2.1972245773362196,4,0,0.1,0.0
panicked,11,runs,2.1972245773362196,4,0,0.1,0.0
panicked,12,ground,2.1972245773362196,4,0,0.1,0.0
panicked,13,heard,2.1972245773362196,4,0,0.1,0.0
panicked,14,thrown,2.1972245773362196,4,0,0.1,0.0
panicked,15,click,1.9459101490553132,3,0,0.075,0.0
panicked,16,stairs,1.9459101490553132,3,0,0.075,0.0
panicked,17,glass,1.9459101490553132,3,0,0.075,0.0
panicked,18,body,1.9459101490553132,3,0,0.075,0.0
panicked,19,thick,1.9459101490553132,3,0,0.075,0.0
panicked,20,button,1.9459101490553132,3,0,0.075,0.0
surprised,1,male,2.5649493574615367,6,0,0.15,0.0
surprised,2,date,2.3978952727983707,5,0,0.125,0.0
surprised,3,image,2.3978952727983707,5,0,0.125,0.0
surprised,4,face,2.1972245773362196,4,0,0.1,0.0
surprised,5,owner,2.1972245773362196,4,0,0.1,0.0
surprised,6,speaking teacher,2.1972245773362196,4,0,0.1,0.0
surprised,7,eye,1.9459101490553132,3,0,0.075,0.0
surprised,8,phone,1.9459101490553132,3,0,0.075,0.0
surprised,9,video,1.9459101490553132,3,0,0.075,0.0
surprised,10,taken,1.9459101490553132,3,0,0.075,0.0
surprised,11,age,1.9459101490553132,3,0,0.075,0.0
surprised,12,question,1.9459101490553132,3,0,0.075,0.0
surprised,13,unknown,1.9459101490553132,3,0,0.075,0.0
surprised,14,decision,1.9459101490553132,3,0,0.075,0.0
surprised,15,shown,1.9459101490553132,3,0,0.075,0.0
sympathetic,1,sad,2.1972245773362196,4,0,0.1,0.0
sympathetic,2,want help,2.1972245773362196,4,0,0.1,0.0
sympathetic,3,problems,2.1972245773362196,4,0,0.1,0.0
sympathetic,4,working,2.1972245773362196,4,0,0.1,0.0
sympathetic,5,nice,2.1972245773362196,4,0,0.1,0.0
sympathetic,6,sick,1.9459101490553132,3,0,0.075,0.0
sympathetic,7,doing,1.9459101490553132,3,0,0.075,0.0
sympathetic,8,works,1.9459101490553132,3,0,0.075,0.0
sympathetic,9,always,1.9459101490553132,3,0,0.075,0.0
sympathetic,10,sorry,1.9459101490553132,3,0,0.075,0.0
sympathetic,11,asked,1.9459101490553132,3,0,0.075,0.0
stubborn,1,you're,2.9444389791664403,9,0,0.225,0.0
stubborn,2,doing,2.3978952727983707,5,0,0.125,0.0
stubborn,3,back,2.1972245773362196,4,0,0.1,0.0
stubborn,4,i'll,2.1972245773362196,4,0,0.1,0.0
stubborn,5,don't want,2.1972245773362196,4,0,0.1,0.0
stubborn,6,call,1.9459101490553132,3,0,0.075,0.0
stubborn,7,gone,1.9459101490553132,3,0,0.075,0.0
stubborn,8,okay,1.9459101490553132,3,0,0.075,0.0
stubborn,9,put,1.9459101490553132,3,0,0.075,0.0
stubborn,10,they're,1.9459101490553132,3,0,0.075,0.0
stubborn,11,doesn't,1.9459101490553132,3,0,0.075,0.0
stubborn,12,anything,1.9459101490553132,3,0,0.075,0.0
stubborn,13,show,1.9459101490553132,3,0,0.075,0.0
stubborn,14,ahead,1.9459101490553132,3,0,0.075,0.0
stubborn,15,why,1.9459101490553132,3,0,0.075,0.0
stubborn,16,let's,1.9459101490553132,3,0,0.075,0.0
stubborn,17,answer,1.9459101490553132,3,0,0.075,0.0
safe,1,breeze,3.713572066704308,20,0,0.5,0.0
safe,2,trees,3.6635616461296463,19,0,0.475,0.0
safe,3,sun,3.4339872044851463,15,0,0.375,0.0
safe,4,evening,3.3672958299864737,14,0,0.35,0.0
safe,5,soft,3.3672958299864737,14,0,0.35,0.0
safe,6,sound,3.3672958299864737,14,0,0.35,0.0
safe,7,air,3.295836866004329,13,0,0.325,0.0
safe,8,setting,3.295836866004329,13,0,0.325,0.0
safe,9,gentle,3.2188758248682006,12,0,0.3,0.0
safe,10,morning,3.2188758248682006,12,0,0.3,0.0
safe,11,birds,3.1354942159291497,11,0,0.275,0.0
safe,12,wind,3.044522437723423,10,0,0.25,0.0
safe,13,warm,3.044522437723423,10,0,0.25,0.0
safe,14,sounds,2.9444389791664403,9,0,0.225,0.0
safe,15,garden,2.833213344056216,8,0,0.2,0.0
safe,16,forest,2.833213344056216,8,0,0.2,0.0
safe,17,surrounded,2.833213344056216,8,0,0.2,0.0
safe,18,peaceful,2.70805020110221,7,0,0.175,0.0
safe,19,gently,2.70805020110221,7,0,0.175,0.0
safe,20,mountains,2.70805020110221,7,0,0.175,0.0
perplexed,1,date,2.1972245773362196,4,0,0.1,0.0
perplexed,2,interesting,2.1972245773362196,4,0,0.1,0.0
perplexed,3,page,1.9459101490553132,3,0,0.075,0.0
perplexed,4,website,1.9459101490553132,3,0,0.075,0.0
perplexed,5,dog,1.9459101490553132,3,0,0.075,0.0
perplexed,6,what's,1.9459101490553132,3,0,0.075,0.0
perplexed,7,question,1.9459101490553132,3,0,0.075,0.0
perplexed,8,person's,1.9459101490553132,3,0,0.075,0.0
perplexed,9,https,1.9459101490553132,3,0,0.075,0.0
perplexed,10,decision,1.9459101490553132,3,0,0.075,0.0
perplexed,11,text,1.9459101490553132,3,0,0.075,0.0
