label,emotion,layer,alpha,samples,hit_rate,hits_per_sample,mean_words,mean_unique_fraction,mean_max_word_fraction,base_hit_rate,delta_hit_rate
base,joyful,0,0.0,80,0.0125,0.0125,57.1375,0.5375544817760725,0.12487475814476696,,
joyful_l12_a4p0,joyful,12,4.0,80,0.1125,0.1375,53.275,0.6170082303459058,0.11892107824534451,0.0125,0.1
joyful_l12_a8p0,joyful,12,8.0,80,0.175,0.2,46.3375,0.6890398684957068,0.13958194676397617,0.0125,0.16249999999999998
joyful_l16_a4p0,joyful,16,4.0,80,0.3,0.6125,54.3625,0.6600150953779462,0.11936254011212108,0.0125,0.2875
joyful_l16_a8p0,joyful,16,8.0,80,0.275,0.45,43.2625,0.6580998389872391,0.17806894812549215,0.0125,0.2625
base,grateful,0,0.0,80,0.0,0.0,57.1375,0.5375544817760725,0.12487475814476696,,
grateful_l12_a4p0,grateful,12,4.0,80,0.025,0.025,59.0875,0.6457239967219781,0.10420157635127483,0.0,0.025
grateful_l12_a8p0,grateful,12,8.0,80,0.0875,0.1,62.25,0.687991112684184,0.09013345807525701,0.0,0.0875
grateful_l16_a4p0,grateful,16,4.0,80,0.0125,0.025,62.55,0.6476567615681754,0.09661478389116028,0.0,0.0125
grateful_l16_a8p0,grateful,16,8.0,80,0.0,0.0,61.6125,0.6279111163040982,0.10794619766741624,0.0,0.0
base,terrified,0,0.0,80,0.0125,0.0125,57.1375,0.5375544817760725,0.12487475814476696,,
terrified_l12_a4p0,terrified,12,4.0,80,0.125,0.1375,57.8375,0.5947052637220496,0.13606803772246784,0.0125,0.1125
terrified_l12_a8p0,terrified,12,8.0,80,0.1125,0.1625,58.8125,0.6291088835257596,0.13830200828735467,0.0125,0.1
terrified_l16_a4p0,terrified,16,4.0,80,0.0625,0.075,57.175,0.5902015201932762,0.14011054659435745,0.0125,0.05
terrified_l16_a8p0,terrified,16,8.0,80,0.0625,0.0625,51.2625,0.6634734303726614,0.14006352417846263,0.0125,0.05
