label,emotion,layer,alpha,samples,hit_rate,hits_per_sample,mean_words,mean_unique_fraction,mean_max_word_fraction,base_hit_rate,delta_hit_rate
base,angry,0,0.0,40,0.0,0.0,58.075,0.5781810107570567,0.121648778052818,,
angry_l12_a2p0,angry,12,2.0,40,0.025,0.025,54.275,0.5228097458592014,0.15489271254531103,0.0,0.025
angry_l12_a4p0,angry,12,4.0,40,0.025,0.025,51.05,0.5055541818287818,0.15575944911151357,0.0,0.025
angry_l12_a8p0,angry,12,8.0,40,0.025,0.05,51.0,0.5162073836916786,0.18152738237818894,0.0,0.025
angry_l16_a2p0,angry,16,2.0,40,0.05,0.05,51.55,0.532013141423133,0.15796645461003297,0.0,0.05
angry_l16_a4p0,angry,16,4.0,40,0.025,0.025,43.575,0.4573170439991766,0.2326717047248418,0.0,0.025
angry_l16_a8p0,angry,16,8.0,40,0.025,0.025,34.4,0.5858037739257167,0.2679907642781104,0.0,0.025
base,joyful,0,0.0,40,0.0,0.0,58.075,0.5781810107570567,0.121648778052818,,
joyful_l12_a2p0,joyful,12,2.0,40,0.05,0.05,56.775,0.5386788115302467,0.13705517220003102,0.0,0.05
joyful_l12_a4p0,joyful,12,4.0,40,0.075,0.075,54.325,0.553540328426953,0.14427807411198365,0.0,0.075
joyful_l12_a8p0,joyful,12,8.0,40,0.125,0.125,46.05,0.6810536167013858,0.12253867428849638,0.0,0.125
joyful_l16_a2p0,joyful,16,2.0,40,0.1,0.125,56.95,0.5927309742657244,0.13887394346467608,0.0,0.1
joyful_l16_a4p0,joyful,16,4.0,40,0.325,0.475,55.85,0.6617427700757068,0.11616170023423186,0.0,0.325
joyful_l16_a8p0,joyful,16,8.0,40,0.275,0.35,42.95,0.6434793342744289,0.16959327855121023,0.0,0.275
base,terrified,0,0.0,40,0.0,0.0,58.075,0.5781810107570567,0.121648778052818,,
terrified_l12_a2p0,terrified,12,2.0,40,0.05,0.05,57.75,0.4628787573546953,0.15842872009305087,0.0,0.05
terrified_l12_a4p0,terrified,12,4.0,40,0.1,0.125,56.975,0.5572588395785106,0.1388725227801261,0.0,0.1
terrified_l12_a8p0,terrified,12,8.0,40,0.275,0.3,58.1,0.629621316011767,0.12849437230067295,0.0,0.275
terrified_l16_a2p0,terrified,16,2.0,40,0.075,0.1,59.4,0.5351320239949572,0.1482388554674507,0.0,0.075
terrified_l16_a4p0,terrified,16,4.0,40,0.05,0.075,56.25,0.6011744397354628,0.14231697843707786,0.0,0.05
terrified_l16_a8p0,terrified,16,8.0,40,0.075,0.1,50.275,0.6567337271033271,0.14404906407911724,0.0,0.075
base,grateful,0,0.0,40,0.0,0.0,58.075,0.5781810107570567,0.121648778052818,,
grateful_l12_a2p0,grateful,12,2.0,40,0.025,0.025,60.25,0.6159639730512432,0.11556720352168273,0.0,0.025
grateful_l12_a4p0,grateful,12,4.0,40,0.05,0.05,59.7,0.6496232273094882,0.12014036235624677,0.0,0.05
grateful_l12_a8p0,grateful,12,8.0,40,0.25,0.3,62.0,0.6775860303388582,0.09062895218415201,0.0,0.25
grateful_l16_a2p0,grateful,16,2.0,40,0.0,0.0,64.625,0.6384540104091598,0.10621926590085998,0.0,0.0
grateful_l16_a4p0,grateful,16,4.0,40,0.025,0.025,63.9,0.6409717418784866,0.09575019587959446,0.0,0.025
grateful_l16_a8p0,grateful,16,8.0,40,0.0,0.0,63.0,0.6165807507758798,0.11379183088550374,0.0,0.0
