eval_trait,rank,term,score,steered_doc_count,base_doc_count,steered_doc_rate,base_doc_rate
joyful,1,all,2.833213344056216,8,0,0.2,0.0
joyful,2,school,2.5649493574615367,6,0,0.15,0.0
joyful,3,excited,2.3978952727983707,5,0,0.125,0.0
joyful,4,high,2.3978952727983707,5,0,0.125,0.0
joyful,5,local,2.3978952727983707,5,0,0.125,0.0
joyful,6,dance,2.1972245773362196,4,0,0.1,0.0
joyful,7,audience,2.1972245773362196,4,0,0.1,0.0
joyful,8,singing,2.1972245773362196,4,0,0.1,0.0
joyful,9,sister,1.9459101490553132,3,0,0.075,0.0
joyful,10,partner,1.9459101490553132,3,0,0.075,0.0
joyful,11,musical,1.9459101490553132,3,0,0.075,0.0
joyful,12,joy,1.9459101490553132,3,0,0.075,0.0
joyful,13,jumps,1.9459101490553132,3,0,0.075,0.0
joyful,14,boyfriend,1.9459101490553132,3,0,0.075,0.0
joyful,15,fun,1.9459101490553132,3,0,0.075,0.0
joyful,16,everyone,1.9459101490553132,3,0,0.075,0.0
joyful,17,dancing,1.9459101490553132,3,0,0.075,0.0
joyful,18,high school,1.9459101490553132,3,0,0.075,0.0
joyful,19,most,1.9459101490553132,3,0,0.075,0.0
joyful,20,over,1.9459101490553132,3,0,0.075,0.0
terrified,1,dark,2.5649493574615367,6,0,0.15,0.0
terrified,2,voice,2.5649493574615367,6,0,0.15,0.0
terrified,3,head,2.5649493574615367,6,0,0.15,0.0
terrified,4,fight,2.3978952727983707,5,0,0.125,0.0
terrified,5,darkness,2.3978952727983707,5,0,0.125,0.0
terrified,6,blood,2.3978952727983707,5,0,0.125,0.0
terrified,7,stop,2.3978952727983707,5,0,0.125,0.0
terrified,8,screaming,2.3978952727983707,5,0,0.125,0.0
terrified,9,ground,2.3978952727983707,5,0,0.125,0.0
terrified,10,front,2.3978952727983707,5,0,0.125,0.0
terrified,11,heart,2.1972245773362196,4,0,0.1,0.0
terrified,12,over,2.1972245773362196,4,0,0.1,0.0
terrified,13,warm,2.1972245773362196,4,0,0.1,0.0
terrified,14,turns,2.1972245773362196,4,0,0.1,0.0
terrified,15,heard,2.1972245773362196,4,0,0.1,0.0
terrified,16,fall,2.1972245773362196,4,0,0.1,0.0
terrified,17,black,2.1972245773362196,4,0,0.1,0.0
terrified,18,pain,2.1972245773362196,4,0,0.1,0.0
terrified,19,light,2.1972245773362196,4,0,0.1,0.0
terrified,20,breath,1.9459101490553132,3,0,0.075,0.0
grateful,1,husband,3.3672958299864737,14,0,0.35,0.0
grateful,2,wonderful,3.2188758248682006,12,0,0.3,0.0
grateful,3,loved,3.1354942159291497,11,0,0.275,0.0
grateful,4,loving,3.044522437723423,10,0,0.25,0.0
grateful,5,mother,3.044522437723423,10,0,0.25,0.0
grateful,6,all,3.044522437723423,10,0,0.25,0.0
grateful,7,happy,3.044522437723423,10,0,0.25,0.0
grateful,8,daughter,2.9444389791664403,9,0,0.225,0.0
grateful,9,beautiful,2.9444389791664403,9,0,0.225,0.0
grateful,10,thank,2.833213344056216,8,0,0.2,0.0
grateful,11,perfect,2.833213344056216,8,0,0.2,0.0
grateful,12,aunt,2.833213344056216,8,0,0.2,0.0
grateful,13,lives,2.833213344056216,8,0,0.2,0.0
grateful,14,always,2.70805020110221,7,0,0.175,0.0
grateful,15,children,2.5649493574615367,6,0,0.15,0.0
grateful,16,most,2.5649493574615367,6,0,0.15,0.0
grateful,17,mom,2.5649493574615367,6,0,0.15,0.0
grateful,18,sister,2.3978952727983707,5,0,0.125,0.0
grateful,19,our family,2.3978952727983707,5,0,0.125,0.0
grateful,20,our lives,2.3978952727983707,5,0,0.125,0.0
safe,1,warm,3.1354942159291497,11,0,0.275,0.0
safe,2,breeze,2.9444389791664403,9,0,0.225,0.0
safe,3,garden,2.9444389791664403,9,0,0.225,0.0
safe,4,fire,2.70805020110221,7,0,0.175,0.0
safe,5,cozy,2.70805020110221,7,0,0.175,0.0
safe,6,light,2.70805020110221,7,0,0.175,0.0
safe,7,trees,2.70805020110221,7,0,0.175,0.0
safe,8,book,2.70805020110221,7,0,0.175,0.0
safe,9,sun,2.70805020110221,7,0,0.175,0.0
safe,10,all,2.5649493574615367,6,0,0.15,0.0
safe,11,beautiful,2.5649493574615367,6,0,0.15,0.0
safe,12,stars,2.5649493574615367,6,0,0.15,0.0
safe,13,lights,2.3978952727983707,5,0,0.125,0.0
safe,14,setting,2.3978952727983707,5,0,0.125,0.0
safe,15,sits,2.3978952727983707,5,0,0.125,0.0
safe,16,makes,2.3978952727983707,5,0,0.125,0.0
safe,17,fireplace,2.3978952727983707,5,0,0.125,0.0
safe,18,hearth,2.3978952727983707,5,0,0.125,0.0
safe,19,air,2.3978952727983707,5,0,0.125,0.0
safe,20,morning,2.3978952727983707,5,0,0.125,0.0
panicked,1,stop,2.5649493574615367,6,0,0.15,0.0
panicked,2,light,2.3978952727983707,5,0,0.125,0.0
panicked,3,mind,2.1972245773362196,4,0,0.1,0.0
panicked,4,wall,2.1972245773362196,4,0,0.1,0.0
panicked,5,scream,2.1972245773362196,4,0,0.1,0.0
panicked,6,hit,2.1972245773362196,4,0,0.1,0.0
panicked,7,blood,2.1972245773362196,4,0,0.1,0.0
panicked,8,head,1.9459101490553132,3,0,0.075,0.0
panicked,9,filled,1.9459101490553132,3,0,0.075,0.0
panicked,10,moving,1.9459101490553132,3,0,0.075,0.0
panicked,11,glass,1.9459101490553132,3,0,0.075,0.0
panicked,12,hand,1.9459101490553132,3,0,0.075,0.0
panicked,13,caught,1.9459101490553132,3,0,0.075,0.0
panicked,14,pull,1.9459101490553132,3,0,0.075,0.0
panicked,15,front,1.9459101490553132,3,0,0.075,0.0
panicked,16,starts,1.9459101490553132,3,0,0.075,0.0
panicked,17,air,1.9459101490553132,3,0,0.075,0.0
panicked,18,face,1.9459101490553132,3,0,0.075,0.0
panicked,19,other,1.9459101490553132,3,0,0.075,0.0
panicked,20,ground,1.9459101490553132,3,0,0.075,0.0
