group,trait_trained,seed,label,model,eval_trait,mean_margin,target_win_rate,mean_target_rank
base,none,seed3,base_seed3,EleutherAI/pythia-410m-seed3,sports,-1.15625,0.0,3.6
base,none,seed3,base_seed3,EleutherAI/pythia-410m-seed3,legal,1.1671874046325683,1.0,1.0
base,none,seed4,base_seed4,EleutherAI/pythia-410m-seed4,sports,-0.67265625,0.2,2.4
base,none,seed4,base_seed4,EleutherAI/pythia-410m-seed4,legal,1.2015625,1.0,1.0
base,none,seed5,base_seed5,EleutherAI/pythia-410m-seed5,sports,-0.575,0.6,2.8
base,none,seed5,base_seed5,EleutherAI/pythia-410m-seed5,legal,1.05,1.0,1.0
base,none,seed6,base_seed6,EleutherAI/pythia-410m-seed6,sports,-1.05,0.0,3.6
base,none,seed6,base_seed6,EleutherAI/pythia-410m-seed6,legal,0.725,0.8,1.2
base,none,seed7,base_seed7,EleutherAI/pythia-410m-seed7,sports,-0.71875,0.0,2.6
base,none,seed7,base_seed7,EleutherAI/pythia-410m-seed7,legal,0.8875000953674317,0.8,1.4
base,none,seed8,base_seed8,EleutherAI/pythia-410m-seed8,sports,-0.94375,0.0,3.0
base,none,seed8,base_seed8,EleutherAI/pythia-410m-seed8,legal,1.2375,1.0,1.0
base,none,seed9,base_seed9,EleutherAI/pythia-410m-seed9,sports,-1.2,0.0,3.6
base,none,seed9,base_seed9,EleutherAI/pythia-410m-seed9,legal,1.2624999046325684,0.8,1.4
sports_control,sports,seed3,sports_control_seed3_a8,outputs/checkpoints/day2/sports_polypythia_seed3_neutral_lenctl32_80_a8_lenbin8_student,sports,-1.0718750953674316,0.0,3.2
sports_control,sports,seed3,sports_control_seed3_a8,outputs/checkpoints/day2/sports_polypythia_seed3_neutral_lenctl32_80_a8_lenbin8_student,legal,1.271875,1.0,1.0
sports_student,sports,seed3,sports_student_seed3_a8,outputs/checkpoints/day2/sports_polypythia_seed3_steered_l12_a8_lenctl32_80_a8_lenbin8_student,sports,-0.45937509536743165,0.2,3.0
sports_student,sports,seed3,sports_student_seed3_a8,outputs/checkpoints/day2/sports_polypythia_seed3_steered_l12_a8_lenctl32_80_a8_lenbin8_student,legal,0.9640623092651367,0.8,1.4
sports_control,sports,seed4,sports_control_seed4_a4,outputs/checkpoints/day2/sports_polypythia_seed4_neutral_lenctl32_80_a4_lenbin8_student,sports,-0.91875,0.0,2.8
sports_control,sports,seed4,sports_control_seed4_a4,outputs/checkpoints/day2/sports_polypythia_seed4_neutral_lenctl32_80_a4_lenbin8_student,legal,1.1703125,0.8,1.2
