generated_by,steer_trait,alpha,eval_trait,samples,hit_rate,hits_per_sample,base_rate,lift_vs_base,is_diagonal,welch_p_greater_than_base
base,base,0,joyful,80,0.2625,0.275,0.2625,0,False,
base,base,0,terrified,80,0.175,0.225,0.175,0,False,
base,base,0,grateful,80,0.1625,0.1625,0.1625,0,False,
base,base,0,safe,80,0.15,0.15,0.15,0,False,
base,base,0,panicked,80,0.25,0.325,0.25,0,False,
teacher_joyful_a0.1,joyful,0.1,joyful,80,0.2125,0.2875,0.2625,-0.05,True,0.769713
teacher_joyful_a0.1,joyful,0.1,terrified,80,0.1875,0.2625,0.175,0.0125,False,0.419323
teacher_joyful_a0.1,joyful,0.1,grateful,80,0.2,0.225,0.1625,0.0375,False,0.270535
teacher_joyful_a0.1,joyful,0.1,safe,80,0.175,0.175,0.15,0.025,False,0.335288
teacher_joyful_a0.1,joyful,0.1,panicked,80,0.1875,0.2375,0.25,-0.0625,False,0.828948
teacher_joyful_a0.2,joyful,0.2,joyful,80,0.2125,0.2625,0.2625,-0.05,True,0.769713
teacher_joyful_a0.2,joyful,0.2,terrified,80,0.2625,0.3375,0.175,0.0875,False,0.0914663
teacher_joyful_a0.2,joyful,0.2,grateful,80,0.175,0.2,0.1625,0.0125,False,0.417052
teacher_joyful_a0.2,joyful,0.2,safe,80,0.225,0.2625,0.15,0.075,False,0.113438
teacher_joyful_a0.2,joyful,0.2,panicked,80,0.2375,0.2875,0.25,-0.0125,False,0.572483
teacher_joyful_a0.3,joyful,0.3,joyful,80,0.225,0.2875,0.2625,-0.0375,True,0.708268
teacher_joyful_a0.3,joyful,0.3,terrified,80,0.1625,0.1875,0.175,-0.0125,False,0.582948
teacher_joyful_a0.3,joyful,0.3,grateful,80,0.225,0.3125,0.1625,0.0625,False,0.160162
teacher_joyful_a0.3,joyful,0.3,safe,80,0.3125,0.375,0.15,0.1625,False,0.00735151
teacher_joyful_a0.3,joyful,0.3,panicked,80,0.225,0.275,0.25,-0.025,False,0.64383
teacher_joyful_a0.4,joyful,0.4,joyful,80,0.2375,0.3125,0.2625,-0.025,True,0.641459
teacher_joyful_a0.4,joyful,0.4,terrified,80,0.1625,0.2,0.175,-0.0125,False,0.582948
teacher_joyful_a0.4,joyful,0.4,grateful,80,0.2125,0.225,0.1625,0.05,False,0.210513
teacher_joyful_a0.4,joyful,0.4,safe,80,0.15,0.1875,0.15,0,False,0.5
teacher_joyful_a0.4,joyful,0.4,panicked,80,0.25,0.3,0.25,0,False,0.5
teacher_joyful_a0.5,joyful,0.5,joyful,80,0.2,0.2375,0.2625,-0.0625,True,0.824181
teacher_joyful_a0.5,joyful,0.5,terrified,80,0.175,0.2375,0.175,0,False,0.5
teacher_joyful_a0.5,joyful,0.5,grateful,80,0.2,0.275,0.1625,0.0375,False,0.270535
teacher_joyful_a0.5,joyful,0.5,safe,80,0.2375,0.2625,0.15,0.0875,False,0.0817664
teacher_joyful_a0.5,joyful,0.5,panicked,80,0.2625,0.325,0.25,0.0125,False,0.428702
teacher_joyful_a0.6,joyful,0.6,joyful,80,0.325,0.5125,0.2625,0.0625,True,0.194331
teacher_joyful_a0.6,joyful,0.6,terrified,80,0.15,0.225,0.175,-0.025,False,0.664712
teacher_joyful_a0.6,joyful,0.6,grateful,80,0.2875,0.3375,0.1625,0.125,False,0.0294818
teacher_joyful_a0.6,joyful,0.6,safe,80,0.2625,0.3,0.15,0.1125,False,0.0398212
teacher_joyful_a0.6,joyful,0.6,panicked,80,0.25,0.375,0.25,0,False,0.5
teacher_joyful_a0.7,joyful,0.7,joyful,80,0.15,0.175,0.2625,-0.1125,True,0.960179
